Genome	Species	Type	nhr.file	nin.file	nsq.file
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/CDS/PI_549046.cds.nhr' target='_blank'>PI 549046.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/PI_549046.cds.nin' target='_blank'>PI 549046.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/PI_549046.cds.nsq' target='_blank'>PI 549046.cds.nsq</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/CDS/PI_562565.cds.nhr' target='_blank'>PI 562565.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/PI_562565.cds.nin' target='_blank'>PI 562565.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/PI_562565.cds.nsq' target='_blank'>PI 562565.cds.nsq</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/CDS/PI_578357.cds.nhr' target='_blank'>PI 578357.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/PI_578357.cds.nin' target='_blank'>PI 578357.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/PI_578357.cds.nsq' target='_blank'>PI 578357.cds.nsq</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/CDS/PI_483463.cds.nhr' target='_blank'>PI 483463.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/PI_483463.cds.nin' target='_blank'>PI 483463.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/PI_483463.cds.nsq' target='_blank'>PI 483463.cds.nsq</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/CDS/W05.cds.nhr' target='_blank'>W05.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/W05.cds.nin' target='_blank'>W05.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/W05.cds.nsq' target='_blank'>W05.cds.nsq</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/CDS/58-161.cds.nhr' target='_blank'>58-161.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/58-161.cds.nin' target='_blank'>58-161.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/58-161.cds.nsq' target='_blank'>58-161.cds.nsq</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/CDS/Feng_Di_Huang.cds.nhr' target='_blank'>Feng Di Huang.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/Feng_Di_Huang.cds.nin' target='_blank'>Feng Di Huang.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/Feng_Di_Huang.cds.nsq' target='_blank'>Feng Di Huang.cds.nsq</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/CDS/PI_398296.cds.nhr' target='_blank'>PI 398296.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/PI_398296.cds.nin' target='_blank'>PI 398296.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/PI_398296.cds.nsq' target='_blank'>PI 398296.cds.nsq</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/CDS/Shi_Sheng_Chang_Ye.cds.nhr' target='_blank'>Shi Sheng Chang Ye.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/Shi_Sheng_Chang_Ye.cds.nin' target='_blank'>Shi Sheng Chang Ye.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/Shi_Sheng_Chang_Ye.cds.nsq' target='_blank'>Shi Sheng Chang Ye.cds.nsq</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/CDS/Tie_Jia_Si_Li_Huang.cds.nhr' target='_blank'>Tie Jia Si Li Huang.cds.nhr</a>	<a href='SoybeanGDB_blastdb/CDS/Tie_Jia_Si_Li_Huang.cds.nin' target='_blank'>Tie Jia Si Li Huang.cds.nin</a>	<a href='SoybeanGDB_blastdb/CDS/Tie_Jia_Si_Li_Huang.cds.nsq' target='_blank'>Tie Jia Si Li Huang.cds.nsq</a>
