Genome	Species	Type	nhr.file	nin.file	nsq.file
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Gene/PI_549046.gene.nhr' target='_blank'>PI 549046.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/PI_549046.gene.nin' target='_blank'>PI 549046.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/PI_549046.gene.nsq' target='_blank'>PI 549046.gene.nsq</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Gene/PI_562565.gene.nhr' target='_blank'>PI 562565.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/PI_562565.gene.nin' target='_blank'>PI 562565.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/PI_562565.gene.nsq' target='_blank'>PI 562565.gene.nsq</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Gene/PI_578357.gene.nhr' target='_blank'>PI 578357.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/PI_578357.gene.nin' target='_blank'>PI 578357.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/PI_578357.gene.nsq' target='_blank'>PI 578357.gene.nsq</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Gene/PI_483463.gene.nhr' target='_blank'>PI 483463.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/PI_483463.gene.nin' target='_blank'>PI 483463.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/PI_483463.gene.nsq' target='_blank'>PI 483463.gene.nsq</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Gene/W05.gene.nhr' target='_blank'>W05.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/W05.gene.nin' target='_blank'>W05.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/W05.gene.nsq' target='_blank'>W05.gene.nsq</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/58-161.gene.nhr' target='_blank'>58-161.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/58-161.gene.nin' target='_blank'>58-161.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/58-161.gene.nsq' target='_blank'>58-161.gene.nsq</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Feng_Di_Huang.gene.nhr' target='_blank'>Feng Di Huang.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Feng_Di_Huang.gene.nin' target='_blank'>Feng Di Huang.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Feng_Di_Huang.gene.nsq' target='_blank'>Feng Di Huang.gene.nsq</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/PI_398296.gene.nhr' target='_blank'>PI 398296.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/PI_398296.gene.nin' target='_blank'>PI 398296.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/PI_398296.gene.nsq' target='_blank'>PI 398296.gene.nsq</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Shi_Sheng_Chang_Ye.gene.nhr' target='_blank'>Shi Sheng Chang Ye.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Shi_Sheng_Chang_Ye.gene.nin' target='_blank'>Shi Sheng Chang Ye.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Shi_Sheng_Chang_Ye.gene.nsq' target='_blank'>Shi Sheng Chang Ye.gene.nsq</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Tie_Jia_Si_Li_Huang.gene.nhr' target='_blank'>Tie Jia Si Li Huang.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Tie_Jia_Si_Li_Huang.gene.nin' target='_blank'>Tie Jia Si Li Huang.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Tie_Jia_Si_Li_Huang.gene.nsq' target='_blank'>Tie Jia Si Li Huang.gene.nsq</a>
Tong Shan Tian E Dan	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Tong_Shan_Tian_E_Dan.gene.nhr' target='_blank'>Tong Shan Tian E Dan.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Tong_Shan_Tian_E_Dan.gene.nin' target='_blank'>Tong Shan Tian E Dan.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Tong_Shan_Tian_E_Dan.gene.nsq' target='_blank'>Tong Shan Tian E Dan.gene.nsq</a>
Zhang Chun Man Cang Jin	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Zhang_Chun_Man_Cang_Jin.gene.nhr' target='_blank'>Zhang Chun Man Cang Jin.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Zhang_Chun_Man_Cang_Jin.gene.nin' target='_blank'>Zhang Chun Man Cang Jin.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Zhang_Chun_Man_Cang_Jin.gene.nsq' target='_blank'>Zhang Chun Man Cang Jin.gene.nsq</a>
Zhutwinning2	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Zhutwinning2.gene.nhr' target='_blank'>Zhutwinning2.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Zhutwinning2.gene.nin' target='_blank'>Zhutwinning2.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Zhutwinning2.gene.nsq' target='_blank'>Zhutwinning2.gene.nsq</a>
Zi Hua No.4	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Gene/Zi_Hua_No.4.gene.nhr' target='_blank'>Zi Hua No.4.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Zi_Hua_No.4.gene.nin' target='_blank'>Zi Hua No.4.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Zi_Hua_No.4.gene.nsq' target='_blank'>Zi Hua No.4.gene.nsq</a>
Lee	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Gene/Lee.gene.nhr' target='_blank'>Lee.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Lee.gene.nin' target='_blank'>Lee.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Lee.gene.nsq' target='_blank'>Lee.gene.nsq</a>
Amsoy	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Gene/Amsoy.gene.nhr' target='_blank'>Amsoy.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Amsoy.gene.nin' target='_blank'>Amsoy.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Amsoy.gene.nsq' target='_blank'>Amsoy.gene.nsq</a>
Dong Nong No.50	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Gene/Dong_Nong_No.50.gene.nhr' target='_blank'>Dong Nong No.50.gene.nhr</a>	<a href='SoybeanGDB_blastdb/Gene/Dong_Nong_No.50.gene.nin' target='_blank'>Dong Nong No.50.gene.nin</a>	<a href='SoybeanGDB_blastdb/Gene/Dong_Nong_No.50.gene.nsq' target='_blank'>Dong Nong No.50.gene.nsq</a>
