Genome	Species	Type	nhr.file	nin.file	nsq.file
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Genome/PI_549046.nhr' target='_blank'>PI 549046.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_549046.nin' target='_blank'>PI 549046.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_549046.nsq' target='_blank'>PI 549046.nsq</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Genome/PI_562565.nhr' target='_blank'>PI 562565.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_562565.nin' target='_blank'>PI 562565.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_562565.nsq' target='_blank'>PI 562565.nsq</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Genome/PI_578357.nhr' target='_blank'>PI 578357.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_578357.nin' target='_blank'>PI 578357.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_578357.nsq' target='_blank'>PI 578357.nsq</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Genome/PI_483463.nhr' target='_blank'>PI 483463.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_483463.nin' target='_blank'>PI 483463.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_483463.nsq' target='_blank'>PI 483463.nsq</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Genome/W05.nhr' target='_blank'>W05.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/W05.nin' target='_blank'>W05.nin</a>	<a href='SoybeanGDB_blastdb/Genome/W05.nsq' target='_blank'>W05.nsq</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/58-161.nhr' target='_blank'>58-161.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/58-161.nin' target='_blank'>58-161.nin</a>	<a href='SoybeanGDB_blastdb/Genome/58-161.nsq' target='_blank'>58-161.nsq</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Feng_Di_Huang.nhr' target='_blank'>Feng Di Huang.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Feng_Di_Huang.nin' target='_blank'>Feng Di Huang.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Feng_Di_Huang.nsq' target='_blank'>Feng Di Huang.nsq</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/PI_398296.nhr' target='_blank'>PI 398296.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_398296.nin' target='_blank'>PI 398296.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_398296.nsq' target='_blank'>PI 398296.nsq</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Shi_Sheng_Chang_Ye.nhr' target='_blank'>Shi Sheng Chang Ye.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Shi_Sheng_Chang_Ye.nin' target='_blank'>Shi Sheng Chang Ye.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Shi_Sheng_Chang_Ye.nsq' target='_blank'>Shi Sheng Chang Ye.nsq</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Tie_Jia_Si_Li_Huang.nhr' target='_blank'>Tie Jia Si Li Huang.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Tie_Jia_Si_Li_Huang.nin' target='_blank'>Tie Jia Si Li Huang.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Tie_Jia_Si_Li_Huang.nsq' target='_blank'>Tie Jia Si Li Huang.nsq</a>
Tong Shan Tian E Dan	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Tong_Shan_Tian_E_Dan.nhr' target='_blank'>Tong Shan Tian E Dan.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Tong_Shan_Tian_E_Dan.nin' target='_blank'>Tong Shan Tian E Dan.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Tong_Shan_Tian_E_Dan.nsq' target='_blank'>Tong Shan Tian E Dan.nsq</a>
Zhang Chun Man Cang Jin	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Zhang_Chun_Man_Cang_Jin.nhr' target='_blank'>Zhang Chun Man Cang Jin.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Zhang_Chun_Man_Cang_Jin.nin' target='_blank'>Zhang Chun Man Cang Jin.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Zhang_Chun_Man_Cang_Jin.nsq' target='_blank'>Zhang Chun Man Cang Jin.nsq</a>
Zhutwinning2	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Zhutwinning2.nhr' target='_blank'>Zhutwinning2.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Zhutwinning2.nin' target='_blank'>Zhutwinning2.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Zhutwinning2.nsq' target='_blank'>Zhutwinning2.nsq</a>
Zi Hua No.4	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Genome/Zi_Hua_No.4.nhr' target='_blank'>Zi Hua No.4.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Zi_Hua_No.4.nin' target='_blank'>Zi Hua No.4.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Zi_Hua_No.4.nsq' target='_blank'>Zi Hua No.4.nsq</a>
Lee	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Lee.nhr' target='_blank'>Lee.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Lee.nin' target='_blank'>Lee.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Lee.nsq' target='_blank'>Lee.nsq</a>
Amsoy	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Amsoy.nhr' target='_blank'>Amsoy.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Amsoy.nin' target='_blank'>Amsoy.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Amsoy.nsq' target='_blank'>Amsoy.nsq</a>
Dong Nong No.50	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Dong_Nong_No.50.nhr' target='_blank'>Dong Nong No.50.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Dong_Nong_No.50.nin' target='_blank'>Dong Nong No.50.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Dong_Nong_No.50.nsq' target='_blank'>Dong Nong No.50.nsq</a>
Han Dou No.5	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Han_Dou_No.5.nhr' target='_blank'>Han Dou No.5.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Han_Dou_No.5.nin' target='_blank'>Han Dou No.5.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Han_Dou_No.5.nsq' target='_blank'>Han Dou No.5.nsq</a>
Hei He No.43	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Hei_He_No.43.nhr' target='_blank'>Hei He No.43.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Hei_He_No.43.nin' target='_blank'>Hei He No.43.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Hei_He_No.43.nsq' target='_blank'>Hei He No.43.nsq</a>
Ke Shan No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Ke_Shan_No.1.nhr' target='_blank'>Ke Shan No.1.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Ke_Shan_No.1.nin' target='_blank'>Ke Shan No.1.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Ke_Shan_No.1.nsq' target='_blank'>Ke Shan No.1.nsq</a>
Ji Dou No.17	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Ji_Dou_No.17.nhr' target='_blank'>Ji Dou No.17.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Ji_Dou_No.17.nin' target='_blank'>Ji Dou No.17.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Ji_Dou_No.17.nsq' target='_blank'>Ji Dou No.17.nsq</a>
Jin Dou No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Jin_Dou_No.23.nhr' target='_blank'>Jin Dou No.23.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Jin_Dou_No.23.nin' target='_blank'>Jin Dou No.23.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Jin_Dou_No.23.nsq' target='_blank'>Jin Dou No.23.nsq</a>
Ju Xuan No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Ju_Xuan_No.23.nhr' target='_blank'>Ju Xuan No.23.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Ju_Xuan_No.23.nin' target='_blank'>Ju Xuan No.23.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Ju_Xuan_No.23.nsq' target='_blank'>Ju Xuan No.23.nsq</a>
PI 548362	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/PI_548362.nhr' target='_blank'>PI 548362.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/PI_548362.nin' target='_blank'>PI 548362.nin</a>	<a href='SoybeanGDB_blastdb/Genome/PI_548362.nsq' target='_blank'>PI 548362.nsq</a>
Qi Huang No.34	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Genome/Qi_Huang_No.34.nhr' target='_blank'>Qi Huang No.34.nhr</a>	<a href='SoybeanGDB_blastdb/Genome/Qi_Huang_No.34.nin' target='_blank'>Qi Huang No.34.nin</a>	<a href='SoybeanGDB_blastdb/Genome/Qi_Huang_No.34.nsq' target='_blank'>Qi Huang No.34.nsq</a>
