Genome	Species	Type	phr.file	pin.file	psq.file
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Protein/PI_549046.phr' target='_blank'>PI 549046.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_549046.pin' target='_blank'>PI 549046.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_549046.psq' target='_blank'>PI 549046.psq</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Protein/PI_562565.phr' target='_blank'>PI 562565.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_562565.pin' target='_blank'>PI 562565.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_562565.psq' target='_blank'>PI 562565.psq</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Protein/PI_578357.phr' target='_blank'>PI 578357.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_578357.pin' target='_blank'>PI 578357.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_578357.psq' target='_blank'>PI 578357.psq</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Protein/PI_483463.phr' target='_blank'>PI 483463.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_483463.pin' target='_blank'>PI 483463.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_483463.psq' target='_blank'>PI 483463.psq</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_blastdb/Protein/W05.phr' target='_blank'>W05.phr</a>	<a href='SoybeanGDB_blastdb/Protein/W05.pin' target='_blank'>W05.pin</a>	<a href='SoybeanGDB_blastdb/Protein/W05.psq' target='_blank'>W05.psq</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Protein/58-161.phr' target='_blank'>58-161.phr</a>	<a href='SoybeanGDB_blastdb/Protein/58-161.pin' target='_blank'>58-161.pin</a>	<a href='SoybeanGDB_blastdb/Protein/58-161.psq' target='_blank'>58-161.psq</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Protein/Feng_Di_Huang.phr' target='_blank'>Feng Di Huang.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Feng_Di_Huang.pin' target='_blank'>Feng Di Huang.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Feng_Di_Huang.psq' target='_blank'>Feng Di Huang.psq</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Protein/PI_398296.phr' target='_blank'>PI 398296.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_398296.pin' target='_blank'>PI 398296.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_398296.psq' target='_blank'>PI 398296.psq</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Protein/Shi_Sheng_Chang_Ye.phr' target='_blank'>Shi Sheng Chang Ye.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Shi_Sheng_Chang_Ye.pin' target='_blank'>Shi Sheng Chang Ye.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Shi_Sheng_Chang_Ye.psq' target='_blank'>Shi Sheng Chang Ye.psq</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_blastdb/Protein/Tie_Jia_Si_Li_Huang.phr' target='_blank'>Tie Jia Si Li Huang.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Tie_Jia_Si_Li_Huang.pin' target='_blank'>Tie Jia Si Li Huang.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Tie_Jia_Si_Li_Huang.psq' target='_blank'>Tie Jia Si Li Huang.psq</a>
