Genome	Species	Type	Genomic seq	CDS	cDNA	Protein	Gene annotation	Transcription factors/regulators	Transposable elements	GO Annotation	KEGG Annotation
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_download/PI_549046.fasta.gz' target='_blank'>PI 549046.fasta.gz</a>	<a href='SoybeanGDB_download/PI_549046.cds.fasta.gz' target='_blank'>PI 549046.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_549046.cdna.fasta.gz' target='_blank'>PI 549046.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_549046.protein.fasta.gz' target='_blank'>PI 549046.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_549046.gff.gz' target='_blank'>PI 549046.gff.gz</a>	<a href='SoybeanGDB_download/PI_549046_tf_classification.txt.gz' target='_blank'>PI 549046 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_549046.TE.txt.gz' target='_blank'>PI 549046.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_549046.GO.txt.gz' target='_blank'>PI 549046.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_549046.KEGG.txt.gz' target='_blank'>PI 549046.KEGG.txt.gz</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_download/PI_562565.fasta.gz' target='_blank'>PI 562565.fasta.gz</a>	<a href='SoybeanGDB_download/PI_562565.cds.fasta.gz' target='_blank'>PI 562565.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_562565.cdna.fasta.gz' target='_blank'>PI 562565.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_562565.protein.fasta.gz' target='_blank'>PI 562565.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_562565.gff.gz' target='_blank'>PI 562565.gff.gz</a>	<a href='SoybeanGDB_download/PI_562565_tf_classification.txt.gz' target='_blank'>PI 562565 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_562565.TE.txt.gz' target='_blank'>PI 562565.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_562565.GO.txt.gz' target='_blank'>PI 562565.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_562565.KEGG.txt.gz' target='_blank'>PI 562565.KEGG.txt.gz</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_download/PI_578357.fasta.gz' target='_blank'>PI 578357.fasta.gz</a>	<a href='SoybeanGDB_download/PI_578357.cds.fasta.gz' target='_blank'>PI 578357.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_578357.cdna.fasta.gz' target='_blank'>PI 578357.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_578357.protein.fasta.gz' target='_blank'>PI 578357.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_578357.gff.gz' target='_blank'>PI 578357.gff.gz</a>	<a href='SoybeanGDB_download/PI_578357_tf_classification.txt.gz' target='_blank'>PI 578357 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_578357.TE.txt.gz' target='_blank'>PI 578357.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_578357.GO.txt.gz' target='_blank'>PI 578357.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_578357.KEGG.txt.gz' target='_blank'>PI 578357.KEGG.txt.gz</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_download/PI_483463.fasta.gz' target='_blank'>PI 483463.fasta.gz</a>	<a href='SoybeanGDB_download/PI_483463.cds.fasta.gz' target='_blank'>PI 483463.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_483463.cdna.fasta.gz' target='_blank'>PI 483463.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_483463.protein.fasta.gz' target='_blank'>PI 483463.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_483463.gff.gz' target='_blank'>PI 483463.gff.gz</a>	<a href='SoybeanGDB_download/PI_483463_tf_classification.txt.gz' target='_blank'>PI 483463 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_483463.TE.txt.gz' target='_blank'>PI 483463.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_483463.GO.txt.gz' target='_blank'>PI 483463.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_483463.KEGG.txt.gz' target='_blank'>PI 483463.KEGG.txt.gz</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_download/W05.fasta.gz' target='_blank'>W05.fasta.gz</a>	<a href='SoybeanGDB_download/W05.cds.fasta.gz' target='_blank'>W05.cds.fasta.gz</a>	<a href='SoybeanGDB_download/W05.cdna.fasta.gz' target='_blank'>W05.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/W05.protein.fasta.gz' target='_blank'>W05.protein.fasta.gz</a>	<a href='SoybeanGDB_download/W05.gff.gz' target='_blank'>W05.gff.gz</a>	<a href='SoybeanGDB_download/W05_tf_classification.txt.gz' target='_blank'>W05 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/W05.TE.txt.gz' target='_blank'>W05.TE.txt.gz</a>	<a href='SoybeanGDB_download/W05.GO.txt.gz' target='_blank'>W05.GO.txt.gz</a>	<a href='SoybeanGDB_download/W05.KEGG.txt.gz' target='_blank'>W05.KEGG.txt.gz</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/58-161.fasta.gz' target='_blank'>58-161.fasta.gz</a>	<a href='SoybeanGDB_download/58-161.cds.fasta.gz' target='_blank'>58-161.cds.fasta.gz</a>	<a href='SoybeanGDB_download/58-161.cdna.fasta.gz' target='_blank'>58-161.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/58-161.protein.fasta.gz' target='_blank'>58-161.protein.fasta.gz</a>	<a href='SoybeanGDB_download/58-161.gff.gz' target='_blank'>58-161.gff.gz</a>	<a href='SoybeanGDB_download/58-161_tf_classification.txt.gz' target='_blank'>58-161 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/58-161.TE.txt.gz' target='_blank'>58-161.TE.txt.gz</a>	<a href='SoybeanGDB_download/58-161.GO.txt.gz' target='_blank'>58-161.GO.txt.gz</a>	<a href='SoybeanGDB_download/58-161.KEGG.txt.gz' target='_blank'>58-161.KEGG.txt.gz</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Feng_Di_Huang.fasta.gz' target='_blank'>Feng Di Huang.fasta.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.cds.fasta.gz' target='_blank'>Feng Di Huang.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.cdna.fasta.gz' target='_blank'>Feng Di Huang.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.protein.fasta.gz' target='_blank'>Feng Di Huang.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.gff.gz' target='_blank'>Feng Di Huang.gff.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang_tf_classification.txt.gz' target='_blank'>Feng Di Huang tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.TE.txt.gz' target='_blank'>Feng Di Huang.TE.txt.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.GO.txt.gz' target='_blank'>Feng Di Huang.GO.txt.gz</a>	<a href='SoybeanGDB_download/Feng_Di_Huang.KEGG.txt.gz' target='_blank'>Feng Di Huang.KEGG.txt.gz</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/PI_398296.fasta.gz' target='_blank'>PI 398296.fasta.gz</a>	<a href='SoybeanGDB_download/PI_398296.cds.fasta.gz' target='_blank'>PI 398296.cds.fasta.gz</a>	<a href='SoybeanGDB_download/PI_398296.cdna.fasta.gz' target='_blank'>PI 398296.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/PI_398296.protein.fasta.gz' target='_blank'>PI 398296.protein.fasta.gz</a>	<a href='SoybeanGDB_download/PI_398296.gff.gz' target='_blank'>PI 398296.gff.gz</a>	<a href='SoybeanGDB_download/PI_398296_tf_classification.txt.gz' target='_blank'>PI 398296 tf classification.txt.gz</a>	<a href='SoybeanGDB_download/PI_398296.TE.txt.gz' target='_blank'>PI 398296.TE.txt.gz</a>	<a href='SoybeanGDB_download/PI_398296.GO.txt.gz' target='_blank'>PI 398296.GO.txt.gz</a>	<a href='SoybeanGDB_download/PI_398296.KEGG.txt.gz' target='_blank'>PI 398296.KEGG.txt.gz</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.fasta.gz' target='_blank'>Shi Sheng Chang Ye.fasta.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.cds.fasta.gz' target='_blank'>Shi Sheng Chang Ye.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.cdna.fasta.gz' target='_blank'>Shi Sheng Chang Ye.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.protein.fasta.gz' target='_blank'>Shi Sheng Chang Ye.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.gff.gz' target='_blank'>Shi Sheng Chang Ye.gff.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye_tf_classification.txt.gz' target='_blank'>Shi Sheng Chang Ye tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.TE.txt.gz' target='_blank'>Shi Sheng Chang Ye.TE.txt.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.GO.txt.gz' target='_blank'>Shi Sheng Chang Ye.GO.txt.gz</a>	<a href='SoybeanGDB_download/Shi_Sheng_Chang_Ye.KEGG.txt.gz' target='_blank'>Shi Sheng Chang Ye.KEGG.txt.gz</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.fasta.gz' target='_blank'>Tie Jia Si Li Huang.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.cds.fasta.gz' target='_blank'>Tie Jia Si Li Huang.cds.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.cdna.fasta.gz' target='_blank'>Tie Jia Si Li Huang.cdna.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.protein.fasta.gz' target='_blank'>Tie Jia Si Li Huang.protein.fasta.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.gff.gz' target='_blank'>Tie Jia Si Li Huang.gff.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang_tf_classification.txt.gz' target='_blank'>Tie Jia Si Li Huang tf classification.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.TE.txt.gz' target='_blank'>Tie Jia Si Li Huang.TE.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.GO.txt.gz' target='_blank'>Tie Jia Si Li Huang.GO.txt.gz</a>	<a href='SoybeanGDB_download/Tie_Jia_Si_Li_Huang.KEGG.txt.gz' target='_blank'>Tie Jia Si Li Huang.KEGG.txt.gz</a>
