Gene_ID	Trifoliate	Leaves	Roots
Glysoja.01G000001	0.642212	0.659732	0.231521
Glysoja.01G000002	0	0	0
Glysoja.01G000004	0	0	0
Glysoja.01G000005	0	0	0
Glysoja.01G000007	0	0	0
Glysoja.01G000008	0.455688	0.377881	0
Glysoja.01G000014	0	0	0
Glysoja.01G000018	0.177168	0.0286	0.083188
Glysoja.01G000019	0	0	0.043575
Glysoja.01G000023	0	0	0
Glysoja.01G000025	0	0	0
Glysoja.01G000028	0	0	0.112681
Glysoja.01G000033	0.203137	0.07032	0.347437
Glysoja.01G000035	0	0	0
Glysoja.01G000036	0	0	0
Glysoja.01G000040	0	0	0.043613
Glysoja.01G000050	0	0	0
Glysoja.01G000051	0	0	0
Glysoja.01G000053	0.015127	0.045724	0
Glysoja.01G000055	0.651671	0.683921	0.758113
Glysoja.01G000058	0.249783	0.261661	0.855622
Glysoja.01G000060	0	0.483227	0
Glysoja.01G000062	0	0	0
Glysoja.01G000072	0.525259	0.145983	0.73948
Glysoja.01G000077	0.017843	0.037061	0.31712
Glysoja.01G000078	0	0	0
Glysoja.01G000081	0	0	0
Glysoja.01G000085	0	0	0
Glysoja.01G000096	0.867873	0	0.555025
Glysoja.01G000101	1.380747	0.402867	0.290215
Glysoja.01G000108	0	0.040089	0.159333
Glysoja.01G000119	0	0	0
Glysoja.01G000121	0	0	0.990686
Glysoja.01G000123	0.410538	0.347986	0.08494
Glysoja.01G000129	0.644109	0.688376	0.009474
Glysoja.01G000131	0.707745	0.217722	0
Glysoja.01G000133	0.035048	0	0
Glysoja.01G000138	0.090494	0.594179	0.80886
Glysoja.01G000141	0	0	0
Glysoja.01G000150	0.243049	0.426417	0.628476
Glysoja.01G000151	0	0	0
Glysoja.01G000157	0	0.063158	0.136545
Glysoja.01G000159	0	0	0.014478
Glysoja.01G000169	0	0	0
Glysoja.01G000179	0.98531	0.426236	0.887264
Glysoja.01G000181	0.243262	0	0.167769
Glysoja.01G000185	0	0	0
Glysoja.01G000187	0	0	0
Glysoja.01G000197	0	0	0
Glysoja.01G000202	0	0	0.083268
Glysoja.01G000203	0	0	0.652035
Glysoja.01G000207	0	0	0
Glysoja.01G000208	0	0	0
Glysoja.01G000209	0.953867	0.508991	0.091873
Glysoja.01G000210	0.767926	0.111222	0.622144
Glysoja.01G000213	0.052629	0	0.002904
Glysoja.01G000214	0.072979	0	0
Glysoja.01G000217	0	0	0
Glysoja.01G000218	0.514331	0.634501	0.054928
Glysoja.01G000220	0	0	0
Glysoja.01G000225	0.713234	0.764461	0.813956
Glysoja.01G000226	0.511619	0.605558	0.765634
Glysoja.01G000227	0.207001	0.153387	0.542491
Glysoja.01G000229	0	0	0
Glysoja.01G000232	0	0	0.163071
Glysoja.01G000235	0.278343	0.445342	0.721651
Glysoja.01G000237	0.062021	0	0.255788
Glysoja.01G000241	0.126036	0.981989	0
Glysoja.01G000242	0	0.770347	0.179516
Glysoja.01G000243	0	0	0
Glysoja.01G000244	0.404438	0.50402	0.102087
Glysoja.01G000247	0.237974	0.104034	0
Glysoja.01G000248	0.229747	0	0
Glysoja.01G000253	0.145019	0	0
Glysoja.01G000257	0	0	0
Glysoja.01G000261	0	0	0
Glysoja.01G000268	0	0.052516	0.053105
Glysoja.01G000269	0	0	0.401696
Glysoja.01G000271	0	0	0
Glysoja.01G000272	0	0	0
Glysoja.01G000274	0.20235	0.106794	0.106667
Glysoja.01G000278	0	0	0.048121
Glysoja.01G000281	0.066546	0	0
Glysoja.01G000283	0	0	0
Glysoja.01G000296	0.605539	0.919818	0.590233
Glysoja.01G000298	0.207673	0.071784	0.163442
Glysoja.01G000300	0	0	0
Glysoja.01G000301	0	0	0
Glysoja.01G000308	0	0	0
Glysoja.01G000318	0.529198	0.03845	0.665676
Glysoja.01G000320	0.053628	0.013923	0.512615
Glysoja.01G000323	0.267951	0.10045	0.099384
Glysoja.01G000324	0.20203	0.220568	0.56805
Glysoja.01G000325	0.301623	0.600016	0.268421
Glysoja.01G000327	0	0	0
Glysoja.01G000328	0	0	0
Glysoja.01G000337	0	0	0
Glysoja.01G000342	0.490196	0.033	0.056759
Glysoja.01G000344	0.298596	0.695451	0
Glysoja.01G000346	0.067712	0.093761	0.070048
Glysoja.01G000349	0	0	0
Glysoja.01G000351	0	0	0
Glysoja.01G000353	0.940629	0.621896	0.443882
Glysoja.01G000355	0	0	0
Glysoja.01G000361	0	0	0
Glysoja.01G000362	0	0	0
Glysoja.01G000377	0	0	0
Glysoja.01G000381	0	0	0
Glysoja.01G000382	0.595143	0.150317	0.545738
Glysoja.01G000385	0	0	0
Glysoja.01G000386	0.099479	0	0.172168
Glysoja.01G000389	0	0	0
Glysoja.01G000393	0	0.170345	0
Glysoja.01G000400	0	0	0
Glysoja.01G000401	0	0	0.226488
Glysoja.01G000402	0.021194	0.02069	0.218814
Glysoja.01G000403	0	0	0
Glysoja.01G000407	0	0	0
Glysoja.01G000412	0	0	0
Glysoja.01G000413	0	0	0
Glysoja.01G000414	0	0	0
Glysoja.01G000416	0	0.372059	0
Glysoja.01G000419	0.05633	0	0
Glysoja.01G000420	0	0	0
Glysoja.01G000424	0	0	0.014651
Glysoja.01G000425	0.031517	0.032731	0
Glysoja.01G000426	0	0	0
Glysoja.01G000427	0	0	0.408149
Glysoja.01G000428	0	0.077395	0.051396
Glysoja.01G000430	0.337096	0	0.082872
Glysoja.01G000432	0	0	0
Glysoja.01G000440	0	0	0
Glysoja.01G000441	0.514418	0	0.564438
Glysoja.01G000442	0	0	0.212239
Glysoja.01G000444	0	0	0
Glysoja.01G000450	0	0	0
Glysoja.01G000455	0	0.251326	0
Glysoja.01G000458	0	0	0
Glysoja.01G000459	0	0	0
Glysoja.01G000464	0	0	0.243848
Glysoja.01G000465	0	0	0
Glysoja.01G000466	0.102936	0.265952	0.585676
Glysoja.01G000469	0	0	0
Glysoja.01G000470	0	0	0
Glysoja.01G000471	0	0	0
Glysoja.01G000472	0.140964	0.348234	0.400924
Glysoja.01G000475	0	0	0
Glysoja.01G000478	0.213571	0.208939	0.239937
Glysoja.01G000479	0	0	0
Glysoja.01G000482	0.421991	0.255407	0.386321
Glysoja.01G000485	0	0	0
Glysoja.01G000487	0	0	0
Glysoja.01G000488	0	0	0
Glysoja.01G000490	0	0.129348	0
Glysoja.01G000491	0	0	0
Glysoja.01G000492	0.595164	0	0
Glysoja.01G000493	0.107371	0.154006	0.032294
Glysoja.01G000494	0	0	0
Glysoja.01G000496	0	0	0
Glysoja.01G000498	0	0	0
Glysoja.01G000501	0	0	0
Glysoja.01G000503	0	0	0
Glysoja.01G000507	0	0	0
Glysoja.01G000508	0	0	0
Glysoja.01G000511	0	0	0
Glysoja.01G000512	0	0	0
Glysoja.01G000513	0	0	0
Glysoja.01G000516	0	0	0
Glysoja.01G000517	0	0	0
Glysoja.01G000518	0	0	0
Glysoja.01G000519	0	0	0
Glysoja.01G000522	0.233507	0.145085	0.352444
Glysoja.01G000528	0	0	0
Glysoja.01G000529	0	0	0.056023
Glysoja.01G000530	0	0	0
Glysoja.01G000531	0.413496	1.186791	0.566322
Glysoja.01G000533	0	0	0
Glysoja.01G000535	0.716164	0.723539	0.31809
Glysoja.01G000536	0.188994	0.224231	0.274653
Glysoja.01G000537	0	0	0.048707
Glysoja.01G000540	0	0	0
Glysoja.01G000541	0	0	0
Glysoja.01G000547	0.255354	0.101448	0.673303
Glysoja.01G000548	0	0	0
Glysoja.01G000549	0	0	0
Glysoja.01G000551	0.179586	0.068567	0.245704
Glysoja.01G000553	0.152989	0	0.058981
Glysoja.01G000557	0	0	0
Glysoja.01G000558	0	0	0
Glysoja.01G000559	0	0	0
Glysoja.01G000560	0	0	0
Glysoja.01G000561	0	0	0
Glysoja.01G000564	0.325555	0.295552	0.793971
Glysoja.01G000565	0	0	0
Glysoja.01G000566	0	0.133985	0.125377
Glysoja.01G000569	0	0	0
Glysoja.01G000570	0	0	0
Glysoja.01G000572	0.122676	0.127232	0.114217
Glysoja.01G000573	0	0	0
Glysoja.01G000574	0	0	0
Glysoja.01G000576	0	0	0
Glysoja.01G000577	0	0	0
Glysoja.01G000581	0.311236	0.308719	0.176278
Glysoja.01G000582	0.350724	0.775935	0
Glysoja.01G000583	0	0	0
Glysoja.01G000587	0.284505	0	0.007818
Glysoja.01G000588	0.872403	0.352086	0.064855
Glysoja.01G000591	0.229237	0.078031	0.231272
Glysoja.01G000592	0	0	0
Glysoja.01G000593	0.289643	0.099749	0.033151
Glysoja.01G000596	0	0	0
Glysoja.01G000597	0.064239	0.418886	0.489142
Glysoja.01G000598	0	0	0
Glysoja.01G000599	0	0	0
Glysoja.01G000600	0	0	0
Glysoja.01G000601	0.360753	0.179376	0.356885
Glysoja.01G000602	0	0	0
Glysoja.01G000603	0	0	0
Glysoja.01G000605	0	0	0
Glysoja.01G000606	0	0	0
Glysoja.01G000607	0	0	0
Glysoja.01G000608	0	0	0
Glysoja.01G000609	0	0	0
Glysoja.01G000610	0	0	0.115555
Glysoja.01G000615	0.198244	0	0
Glysoja.01G000616	0	0	0
Glysoja.01G000617	0	0	0
Glysoja.01G000619	0.590006	0.619999	1.073771
Glysoja.01G000621	0	0	0
Glysoja.01G000626	0	0	0
Glysoja.01G000628	0	0	0
Glysoja.01G000629	0	0	0
Glysoja.01G000630	0	0.249945	0
Glysoja.01G000631	0	0	0
Glysoja.01G000632	0	0	0
Glysoja.01G000633	0	0	0
Glysoja.01G000634	0	0	0.677358
Glysoja.01G000637	0	0	0
Glysoja.01G000638	0	0	0
Glysoja.01G000639	0	0	0
Glysoja.01G000640	0	0	0
Glysoja.01G000641	0.316158	0.490137	0.759037
Glysoja.01G000642	0	0	0
Glysoja.01G000643	0.128283	0.23477	0.663539
Glysoja.01G000645	0	0	0
Glysoja.01G000646	0	0	0
Glysoja.01G000648	0	0	0
Glysoja.01G000649	0	0	0
Glysoja.01G000650	0.102856	0	0
Glysoja.01G000651	0	0	0
Glysoja.01G000652	0	0	0
Glysoja.01G000653	0	0	0
Glysoja.01G000654	0	0	0
Glysoja.01G000658	0	0	0
Glysoja.01G000659	0	0	0
Glysoja.01G000661	0	0	0
Glysoja.01G000662	0.076084	0	0.32126
Glysoja.01G000664	0	0	0
Glysoja.01G000665	0	0	0
Glysoja.01G000667	0.100223	0	0.077899
Glysoja.01G000668	0	0	0.146106
Glysoja.01G000669	0	0	0
Glysoja.01G000670	0	0.072792	0.50634
Glysoja.01G000671	0	0	0
Glysoja.01G000672	0	0	0
Glysoja.01G000673	0	0	0
Glysoja.01G000674	0	0	0
Glysoja.01G000675	0	0	0
Glysoja.01G000676	0	0	0
Glysoja.01G000677	0	0	0
Glysoja.01G000678	0	0	0
Glysoja.01G000679	0	0	0
Glysoja.01G000680	0	0	0
Glysoja.01G000681	0	0.040602	0
Glysoja.01G000682	0	0	0
Glysoja.01G000684	0	0	0
Glysoja.01G000685	0	0	0
Glysoja.01G000686	0	0	0
Glysoja.01G000687	0	0	0
Glysoja.01G000690	0	0	0
Glysoja.01G000691	0.559503	0	0.391636
Glysoja.01G000692	0	0	0
Glysoja.01G000695	0	0	0.113909
Glysoja.01G000698	0	0	0
Glysoja.01G000701	0	0	0
Glysoja.01G000702	0	0	0
Glysoja.01G000707	0	0	0
Glysoja.01G000708	0	0	0
Glysoja.01G000709	0	0	0
Glysoja.01G000710	0	0	0
Glysoja.01G000713	0.946897	0.504166	0.266926
