Gene_ID	young_leaf	flower	one.cm.pod	pod.shell.10DAF	pod.shell.14DAF	seed.10DAF	seed.14DAF	seed.21DAF	seed.25DAF	seed.28DAF	seed.35DAF	seed.42DAF	root	nodule
Glyma.20G056700	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Glyma.20G056500	29	22	22	26	14	27	16	9	11	7	7	3	26	24
Glyma.08G263800	114	123	101	118	70	42	43	31	109	64	115	54	210	161
Glyma.08G263700	6	3	8	11	5	6	9	5	15	13	27	8	19	12
Glyma.08G263200	21	148	41	29	2	1	0	0	0	0	0	0	47	3
Glyma.01G074600	6	5	6	3	7	1	0	0	2	1	1	0	194	25
Glyma.01G074400	13	5	17	10	8	3	5	5	8	7	10	5	24	36
Glyma.10G101400	103	47	84	119	62	24	54	45	82	63	89	36	81	1305
Glyma.10G101200	165	72	130	166	126	82	95	53	85	63	83	42	95	52
Glyma.17G232285	88	123	79	131	62	51	45	23	55	22	61	32	179	98
Glyma.17G232260	0	11	2	4	1	0	0	0	0	0	0	0	76	28
Glyma.17G232255	79	79	74	128	119	20	52	45	98	50	59	20	145	252
Glyma.17G232240	83	50	73	142	121	130	57	10	44	19	25	6	134	47
Glyma.17G232235	10	39	9	29	17	8	5	6	18	30	31	26	153	36
Glyma.17G232225	83	60	41	34	11	20	20	9	29	10	51	9	26	28
Glyma.17G232220	9	4	7	5	2	0	0	0	0	0	0	0	32	5
Glyma.17G232210	0	32	0	2	10	0	1	0	0	0	1	0	27	161
Glyma.17G232205	0	6	0	3	0	0	3	1	1	4	7	2	33	0
Glyma.09G286400	4	0	1	1	3	0	0	0	1	0	1	1	0	5
Glyma.09G286300	11	10	6	3	2	2	4	2	2	3	1	4	0	4
Glyma.09G286200	209	60	71	72	58	20	27	15	55	16	24	13	16	15
Glyma.09G286100	15	9	10	3	7	3	7	4	6	5	9	6	5	10
Glyma.09G286000	124	39	46	26	32	23	23	19	33	17	43	9	30	34
Glyma.09G285900	1	20	5	9	13	14	21	10	26	18	32	24	285	1561
Glyma.09G285800	165	130	157	150	115	83	95	48	69	44	50	22	130	189
Glyma.09G285700	765	335	600	489	497	8	26	47	446	592	971	750	3	6
Glyma.09G285600	44	41	55	63	20	2	16	11	21	15	13	7	78	17
Glyma.09G285500	35	13	28	21	12	15	19	22	8	9	10	8	18	14
Glyma.09G285400	173	90	205	299	359	95	209	46	185	154	171	94	242	331
Glyma.09G285300	85	67	57	63	31	33	47	16	37	30	67	20	77	64
Glyma.09G285200	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Glyma.u001500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G278300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G278400	0	13	0	0	2	0	0	0	0	0	0	0	0	0
Glyma.06G278500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G278600	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G278700	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G278800	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.06G279000	0	1	2	4	1	0	1	0	1	0	0	0	1	0
Glyma.06G278000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.u031117	328	167	133	166	121	12	10	6	7	4	2	2	13	20
Glyma.u031417	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Glyma.04G116000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.16G065600	6	4	7	4	6	0	0	0	0	0	0	0	0	0
Glyma.14G088700	12	36	14	22	22	16	10	5	12	12	12	3	17	7
Glyma.14G088800	33	15	29	43	8	17	24	7	20	11	26	6	23	36
Glyma.14G088900	71	123	32	49	120	4	6	5	29	21	27	28	91	49
Glyma.14G089000	236	261	226	126	142	46	52	15	28	17	16	10	82	42
Glyma.u045200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.u045000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.u044800	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.18G088000	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glyma.18G088300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyma.14G160200	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Glyma.u031221	477	225	497	428	250	489	390	183	283	212	309	165	507	425
Glyma.u031121	411	427	373	424	409	142	205	99	131	160	179	80	1174	308
Glyma.01G000100	3	2	2	2	0	0	1	1	0	1	1	2	1	0
