ID	Species	Category	Names	Origin
s1	Glycine max (L.) Merr.	Glycine soja	PI 458535	China
s2	Glycine max (L.) Merr.	Glycine soja	PI 407301	China
s3	Glycine max (L.) Merr.	Glycine soja	PI 458538 -2	China, Hei Long Jiang
s4	Glycine max (L.) Merr.	Glycine soja	PI 479769	China, Hei Long Jiang
s5	Glycine max (L.) Merr.	Glycine soja	PI 458536	China, Hei Long Jiang
s6	Glycine max (L.) Merr.	Glycine soja	PI 522182 B	China, Hei Long Jiang
s7	Glycine max (L.) Merr.	Glycine soja	PI 447004	China, Ji Lin
s8	Glycine max (L.) Merr.	Glycine soja	PI 479752	China, Ji Lin
s9	Glycine max (L.) Merr.	Glycine soja	PI 407288	China, Ji Lin
s10	Glycine max (L.) Merr.	Glycine soja	PI 464935	China, Jiang Su
s11	Glycine max (L.) Merr.	Glycine soja	PI 464929 B	China, Liao Ning
s12	Glycine max (L.) Merr.	Glycine soja	PI 468916	China, Liao Ning
s13	Glycine max (L.) Merr.	Glycine soja	PI 464927 A -2	China, Liao Ning
s14	Glycine max (L.) Merr.	Glycine soja	PI 464929 A -2	China, Liao Ning
s15	Glycine max (L.) Merr.	Glycine soja	PI 483460 B	China, Liao Ning
s16	Glycine max (L.) Merr.	Glycine soja	PI 483464 A	China, Ning Xia
s17	Glycine max (L.) Merr.	Glycine soja	PI 468400 A	China, Ning Xia
s18	Glycine max (L.) Merr.	Glycine soja	PI 549046	China, Shaan Xi
s19	Glycine max (L.) Merr.	Glycine soja	PI 483465	China, Shaan Xi
s20	Glycine max (L.) Merr.	Glycine soja	PI 597459 C	China, Shan Dong
s21	Glycine max (L.) Merr.	Glycine soja	PI 597461 C	China, Shan Dong
s22	Glycine max (L.) Merr.	Glycine soja	PI 597459 D	China, Shan Dong
s23	Glycine max (L.) Merr.	Glycine soja	PI 597461 A	China, Shan Dong
s24	Glycine max (L.) Merr.	Glycine soja	PI 393551	China, Tai Wan
s25	Glycine max (L.) Merr.	Glycine soja	Y108	China, Zhe Jiang
s26	Glycine max (L.) Merr.	Glycine soja	Y188	China, Zhe Jiang
s27	Glycine max (L.) Merr.	Glycine soja	Y217	China, Zhe Jiang
s28	Glycine max (L.) Merr.	Glycine soja	Y155	China, Zhe Jiang
s29	Glycine max (L.) Merr.	Glycine soja	YJ038	China, Zhe Jiang
s30	Glycine max (L.) Merr.	Glycine soja	Y2300-1	China, Zhe Jiang
s31	Glycine max (L.) Merr.	Glycine soja	YJ086	China, Zhe Jiang
s32	Glycine max (L.) Merr.	Glycine soja	Y191	China, Zhe Jiang
s33	Glycine max (L.) Merr.	Glycine soja	Y282	China, Zhe Jiang
s34	Glycine max (L.) Merr.	Glycine soja	Y314	China, Zhe Jiang
s35	Glycine max (L.) Merr.	Glycine soja	Y200	China, Zhe Jiang
s36	Glycine max (L.) Merr.	Glycine soja	PI 407131	Japan
s37	Glycine max (L.) Merr.	Glycine soja	PI 407027	Japan, Akita
s38	Glycine max (L.) Merr.	Glycine soja	PI 366120	Japan, Akita
s39	Glycine max (L.) Merr.	Glycine soja	PI 366121	Japan, Fukushima
s40	Glycine max (L.) Merr.	Glycine soja	PI 593983	Japan, Hokkaido
s41	Glycine max (L.) Merr.	Glycine soja	PI 378692	Japan, Iwate
s42	Glycine max (L.) Merr.	Glycine soja	PI 366123	Japan, Iwate
s43	Glycine max (L.) Merr.	Glycine soja	PI 507662	Japan, Kagoshima
s44	Glycine max (L.) Merr.	Glycine soja	PI 407285	Japan, Kanagawa
s45	Glycine max (L.) Merr.	Glycine soja	PI 424096	North Korea
s46	Glycine max (L.) Merr.	Glycine soja	PI 339871 A	North Korea
s47	Glycine max (L.) Merr.	Glycine soja	PI 423991	Russian Federation, Federation Amur
s48	Glycine max (L.) Merr.	Glycine soja	PI 578357	Russian Federation, Federation Amur
s49	Glycine max (L.) Merr.	Glycine soja	PI 578341	Russian Federation, Federation Khabarovsk
s50	Glycine max (L.) Merr.	Glycine soja	PI 326582 A	Russian Federation, Federation Primorye
s51	Glycine max (L.) Merr.	Glycine soja	PI 522216	Russian Federation, Federation Primorye
s52	Glycine max (L.) Merr.	Glycine soja	PI 522228	Russian Federation, Federation Primorye
s53	Glycine max (L.) Merr.	Glycine soja	PI 522226	Russian Federation, Federation Primorye
s54	Glycine max (L.) Merr.	Glycine soja	PI 504286	South Korea, Chungchong Puk
s55	Glycine max (L.) Merr.	Glycine soja	PI 562559	South Korea, Jeolla Puk
s56	Glycine max (L.) Merr.	Glycine soja	PI 562565	South Korea, Jeolla Puk
s57	Glycine max (L.) Merr.	Glycine soja	PI 407197	South Korea, Kangwon
s58	Glycine max (L.) Merr.	Glycine soja	PI 407170	South Korea, Kyonggi
s59	Glycine max (L.) Merr.	Glycine soja	PI 407275	South Korea, Kyonggi
s60	Glycine max (L.) Merr.	Glycine soja	PI 407246	South Korea, Kyongsang Puk
s61	Glycine max (L.) Merr.	Glycine soja	PI 547831	United States
s62	Glycine max (L.) Merr.	Glycine soja	ZY020	Unknown
s63	Glycine max (L.) Merr.	Landrace	PI 153262	Belgium
s64	Glycine max (L.) Merr.	Landrace	PI 548382	Canada, Manitoba
s65	Glycine max (L.) Merr.	Landrace	PI 587552	China
s66	Glycine max (L.) Merr.	Landrace	PI 437654 -2	China
s67	Glycine max (L.) Merr.	Landrace	PI 603424 A	China
s68	Glycine max (L.) Merr.	Landrace	PI 417398	China
s69	Glycine max (L.) Merr.	Landrace	PI 594788	China
s70	Glycine max (L.) Merr.	Landrace	PI 437679	China
s71	Glycine max (L.) Merr.	Landrace	PI 548298	China
s72	Glycine max (L.) Merr.	Landrace	PI 437653	China
s73	Glycine max (L.) Merr.	Landrace	PI 404182	China
s74	Glycine max (L.) Merr.	Landrace	PI 253658 B	China
s75	Glycine max (L.) Merr.	Landrace	Yan Shi Huang Dou	China
s76	Glycine max (L.) Merr.	Landrace	PI 548445	China
s77	Glycine max (L.) Merr.	Landrace	PI 548485	China
s78	Glycine max (L.) Merr.	Landrace	PI 437944	China
s79	Glycine max (L.) Merr.	Landrace	PI 587666	China, An Hui
s80	Glycine max (L.) Merr.	Landrace	PI 548402	China, Bei Jing
s81	Glycine max (L.) Merr.	Landrace	PI 603596	China, Fu Jian
s82	Glycine max (L.) Merr.	Landrace	Dong Shan Bai Ma Dou	China, Fu Jian
s83	Glycine max (L.) Merr.	Landrace	Sha Xian Wu Dou	China, Fu Jian
s84	Glycine max (L.) Merr.	Landrace	Tong An Zi Hong Dou	China, Fu Jian
s85	Glycine max (L.) Merr.	Landrace	Sha Men Teng Zai Dou	China, Fu Jian
s86	Glycine max (L.) Merr.	Landrace	Sha Xian Qing Dou	China, Fu Jian
s87	Glycine max (L.) Merr.	Landrace	PI 567293	China, Gan Su
s88	Glycine max (L.) Merr.	Landrace	PI 567298	China, Gan Su
s89	Glycine max (L.) Merr.	Landrace	PI 588053 A	China, Guang Dong
s90	Glycine max (L.) Merr.	Landrace	Hei Dou  -2	China, Guang Dong
s91	Glycine max (L.) Merr.	Landrace	PI 594615	China, Gui Zhou
s92	Glycine max (L.) Merr.	Landrace	PI 594629	China, Gui Zhou
s93	Glycine max (L.) Merr.	Landrace	Xiao Huang Dou -3	China, Gui Zhou
s94	Glycine max (L.) Merr.	Landrace	Bai Mao Dou	China, Gui Zhou
s95	Glycine max (L.) Merr.	Landrace	PI 567503	China, He Bei
s96	Glycine max (L.) Merr.	Landrace	Da Tun Xiao Hei Dou	China, He Bei
s97	Glycine max (L.) Merr.	Landrace	Nan Guan Xiao Pi Qing	China, He Bei
s98	Glycine max (L.) Merr.	Landrace	PI 603336	China, Hei Long Jiang
s99	Glycine max (L.) Merr.	Landrace	PI 548379	China, Hei Long Jiang
s100	Glycine max (L.) Merr.	Landrace	PI 548488	China, Hei Long Jiang
s101	Glycine max (L.) Merr.	Landrace	PI 603318	China, Hei Long Jiang
s102	Glycine max (L.) Merr.	Landrace	Hei He Xiao Huang Dou	China, Hei Long Jiang
s103	Glycine max (L.) Merr.	Landrace	Long Quan Da Dou	China, Hei Long Jiang
s104	Glycine max (L.) Merr.	Landrace	Qing Dou	China, Hei Long Jiang
s105	Glycine max (L.) Merr.	Landrace	Da Li Huang -2	China, Hei Long Jiang
s106	Glycine max (L.) Merr.	Landrace	PI 587752	China, Hu Bei
s107	Glycine max (L.) Merr.	Landrace	PI 587848	China, Hu Bei
s108	Glycine max (L.) Merr.	Landrace	Dai Mi Dou	China, Hu Bei
s109	Glycine max (L.) Merr.	Landrace	Hong Hu Liu Yue Bao	China, Hu Bei
s110	Glycine max (L.) Merr.	Landrace	Jing Huang 35 Yi	China, Hu Bei
s111	Glycine max (L.) Merr.	Landrace	Ni Dou	China, Hu Bei
s112	Glycine max (L.) Merr.	Landrace	PI 594579	China, Hu Nan
s113	Glycine max (L.) Merr.	Landrace	Xiang Dou No.4	China, Hu Nan
s114	Glycine max (L.) Merr.	Landrace	Hong Zhu Dou	China, Hu Nan
s115	Glycine max (L.) Merr.	Landrace	PI 407716	China, Ji Lin
s116	Glycine max (L.) Merr.	Landrace	Hei Wa Shi Dou	China, Ji Lin
s117	Glycine max (L.) Merr.	Landrace	PI 467343	China, Ji Lin
s118	Glycine max (L.) Merr.	Landrace	PI 603384	China, Ji Lin
s119	Glycine max (L.) Merr.	Landrace	PI 548406	China, Ji Lin
s120	Glycine max (L.) Merr.	Landrace	PI 603357	China, Ji Lin
s121	Glycine max (L.) Merr.	Landrace	PI 88479	China, Ji Lin
s122	Glycine max (L.) Merr.	Landrace	Zhu Field	China, Ji Lin
s123	Glycine max (L.) Merr.	Landrace	Jin Shan Cha Zhu Shi Dou	China, Ji Lin
s124	Glycine max (L.) Merr.	Landrace	Pi Xian Nian Zhuang Liu Yue Xian	China, Jiang Su
s125	Glycine max (L.) Merr.	Landrace	PI 603675	China, Jiang Su
s126	Glycine max (L.) Merr.	Landrace	Pi Xian Da Zi Hua Cao	China, Jiang Su
s127	Glycine max (L.) Merr.	Landrace	Yi Zheng Da Li Huang Dou	China, Jiang Su
s128	Glycine max (L.) Merr.	Landrace	Wu Jiang Wu Yue Niu Mao Huang	China, Jiang Su
s129	Glycine max (L.) Merr.	Landrace	Pei Xian Xiao You Dou  -2	China, Jiang Su
s130	Glycine max (L.) Merr.	Landrace	Tai Xing Niu Mao Huang Yi	China, Jiang Su
s131	Glycine max (L.) Merr.	Landrace	Bin Hai Da Huang Ke Zi Jia	China, Jiang Su
