Accession	ID
Zhonghuang_13	SoyZH13_03G069002\nSoyZH13_03G069001\nSoyZH13_03G069100\nSoyZH13_03G069006\nSoyZH13_01G071100
PI_562565	SoyW01_01G000900\nSoyW01_03G089600\nSoyW01_03G089500\nSoyW01_03G089000
PI_549046	SoyW02_01G000600\nSoyW02_04G014400\nSoyW02_04G014700\nSoyW02_04G015000
PI_578357	SoyW03_01G000600\nSoyW03_06G004500\nSoyW03_06G004600\nSoyW03_06G004800
Williams_82	Glyma.01G001000\nGlyma.02G121100\nGlyma.02G121300\nGlyma.02G121400
W05	Glysoja.01G000010\nGlysoja.07G016606\nGlysoja.07G016610\nGlysoja.07G016612
Zhutwinning2	SoyL01_01G000600\nSoyL01_09G082600\nSoyL01_09G082800\nSoyL01_09G083000
Zi_Hua_No.4	SoyL02_01G000600\nSoyL02_07G162800\nSoyL02_07G163000\nSoyL02_07G163100
Tong_Shan_Tian_E_Dan	SoyL03_01G000500\nSoyL03_13G005400\nSoyL03_13G005500\nSoyL03_13G005600
58-161	SoyL04_01G000500\nSoyL04_11G068300\nSoyL04_11G068400\nSoyL04_11G068600
PI_398296	SoyL05_01G000600\nSoyL05_15G083000\nSoyL05_15G083200\nSoyL05_15G083400
Zhang_Chun_Man_Cang_Jin	SoyL06_01G003700\nSoyL06_01G007000\nSoyL06_01G007100\nSoyL06_01G007300
Feng_Di_Huang	SoyL07_01G000800\nSoyL07_06G015500\nSoyL07_06G015700\nSoyL07_06G015900
Tie_Jia_Si_Li_Huang	SoyL08_01G000700\nSoyL08_12G207300\nSoyL08_12G207400\nSoyL08_12G207600
Shi_Sheng_Chang_Ye	SoyL09_01G000600\nSoyL09_19G005600\nSoyL09_19G005800\nSoyL09_19G006000
Xu_Dou_No.1	SoyC01_01G000900\nSoyC01_20G057400\nSoyC01_20G057500\nSoyC01_20G057600
Tie_Feng_No.18	SoyC02_01G000500\nSoyC02_17G003100\nSoyC02_17G003400\nSoyC02_17G003600
Ju_Xuan_No.23	SoyC03_01G000600\nSoyC03_13G002700\nSoyC03_13G002900\nSoyC03_13G003100
Wan_Dou_No.28	SoyC04_01G000700\nSoyC04_01G052550\nSoyC04_01G052600\nSoyC04_01G053000
Amsoy	SoyC05_01G005700\nSoyC05_08G217700\nSoyC05_08G217900\nSoyC05_08G218000
Yu_Dou_No.22	SoyC06_01G000700\nSoyC06_09G021900\nSoyC06_09G021600\nSoyC06_09G022000
Jin_Dou_No.23	SoyC07_01G000600\nSoyC07_04G097000\nSoyC07_04G097400\nSoyC07_04G097500
Qi_Huang_No.34	SoyC08_01G000500\nSoyC08_03G067000\nSoyC08_03G067200\nSoyC08_03G067300
Han_Dou_No.5	SoyC09_01G000600\nSoyC09_06G015500\nSoyC09_06G015700\nSoyC09_06G015800
PI_548362	SoyC10_01G000600\nSoyC10_05G119900\nSoyC10_05G120000\nSoyC10_05G120200
Ji_Dou_No.17	SoyC11_01G000500\nSoyC11_15G180800\nSoyC11_15G181100\nSoyC11_15G181300
Dong_Nong_No.50	SoyC12_01G000500\nSoyC12_19G012400\nSoyC12_19G012600\nSoyC12_19G012800
Hei_He_No.43	SoyC13_01G000700\nSoyC13_09G017000\nSoyC13_09G017300\nSoyC13_09G017400
Ke_Shan_No.1	SoyC14_01G000700\nSoyC14_11G011900\nSoyC14_11G012100\nSoyC14_11G012300
