Accession	ID
58-161	SoyL04_15G089100\nSoyL04_14G055200\nSoyL04_06G174000\nSoyL04_05G179400\nSoyL04_03G248000\nSoyL04_10G285600\nSoyL04_03G011300\nSoyL04_07G194000\nSoyL04_10G103600\nSoyL04_09G104600\nSoyL04_04G012700\nSoyL04_12G143400\nSoyL04_17G058100\nSoyL04_08G034300\nSoyL04_09G004400\nSoyL04_03G208600\nSoyL04_10G241800\nSoyL04_08G014600\nSoyL04_06G256500\nSoyL04_01G184000
Amsoy	SoyC05_02G199400\nSoyC05_16G176300\nSoyC05_02G270800\nSoyC05_16G084500\nSoyC05_16G085100\nSoyC05_03G188100\nSoyC05_18G132600\nSoyC05_17G099900\nSoyC05_04G158900\nSoyC05_01G067900\nSoyC05_05G191100\nSoyC05_07G022300\nSoyC05_20G000800\nSoyC05_14G213300\nSoyC05_09G125600\nSoyC05_04G210050\nSoyC05_15G093400\nSoyC05_08G119800\nSoyC05_18G043100\nSoyC05_15G079200
Dong_Nong_No.50	SoyC12_05G121900\nSoyC12_13G066800\nSoyC12_13G174100\nSoyC12_20G068300\nSoyC12_05G214400\nSoyC12_01G176400\nSoyC12_08G265400\nSoyC12_09G210600\nSoyC12_10G212400\nSoyC12_10G213800\nSoyC12_20G156400\nSoyC12_04G011400\nSoyC12_02G133500\nSoyC12_06G309900\nSoyC12_12G200100\nSoyC12_02G091700\nSoyC12_16G021900\nSoyC12_07G133500\nSoyC12_06G240100\nSoyC12_04G097800
Feng_Di_Huang	SoyL07_08G114400\nSoyL07_19G240900\nSoyL07_06G021500\nSoyL07_13G011420\nSoyL07_13G018500\nSoyL07_10G212300\nSoyL07_07G033300\nSoyL07_07G159000\nSoyL07_06G165600\nSoyL07_17G210700\nSoyL07_12G111900\nSoyL07_17G055800\nSoyL07_11G254800\nSoyL07_20G053200\nSoyL07_10G158600\nSoyL07_07G008700\nSoyL07_13G191600\nSoyL07_16G157800\nSoyL07_20G056400\nSoyL07_13G054200
Han_Dou_No.5	SoyC09_01G111800\nSoyC09_02G062800\nSoyC09_16G162700\nSoyC09_14G032600\nSoyC09_09G203000\nSoyC09_20G002000\nSoyC09_13G099600\nSoyC09_01G080800\nSoyC09_01G025600\nSoyC09_10G124800\nSoyC09_05G158200\nSoyC09_11G057800\nSoyC09_05G199200\nSoyC09_18G191900\nSoyC09_13G176900\nSoyC09_10G124600\nSoyC09_01G240100\nSoyC09_17G092400\nSoyC09_01G143700\nSoyC09_02G127900
Hei_He_No.43	SoyC13_10G017800\nSoyC13_05G019200\nSoyC13_06G231600\nSoyC13_08G312400\nSoyC13_17G199700\nSoyC13_16G138300\nSoyC13_07G075400\nSoyC13_10G082900\nSoyC13_02G048900\nSoyC13_18G084000\nSoyC13_02G093300\nSoyC13_17G240800\nSoyC13_20G196400\nSoyC13_16G170300\nSoyC13_06G262400\nSoyC13_10G285600\nSoyC13_03G177800\nSoyC13_19G070600\nSoyC13_04G080200\nSoyC13_02G201400
Ji_Dou_No.17	SoyC11_03G050800\nSoyC11_19G137900\nSoyC11_11G092500\nSoyC11_09G028100\nSoyC11_15G113000\nSoyC11_14G184200\nSoyC11_16G112000\nSoyC11_17G231300\nSoyC11_02G116200\nSoyC11_08G310200\nSoyC11_11G156800\nSoyC11_15G016400\nSoyC11_10G043700\nSoyC11_02G183000\nSoyC11_01G202100\nSoyC11_14G200600\nSoyC11_10G090800\nSoyC11_18G283700\nSoyC11_09G107400\nSoyC11_15G215200
Jin_Dou_No.23	SoyC07_12G016800\nSoyC07_05G207700\nSoyC07_03G205200\nSoyC07_05G188100\nSoyC07_07G211300\nSoyC07_01G199800\nSoyC07_12G179100\nSoyC07_03G205800\nSoyC07_02G228700\nSoyC07_11G177200\nSoyC07_04G201100\nSoyC07_09G051200\nSoyC07_12G004600\nSoyC07_05G160400\nSoyC07_07G230400\nSoyC07_05G090850\nSoyC07_15G065300\nSoyC07_01G095500\nSoyC07_04G242900\nSoyC07_10G151600
Ju_Xuan_No.23	SoyC03_17G130900\nSoyC03_20G174300\nSoyC03_03G239700\nSoyC03_08G332900\nSoyC03_09G218900\nSoyC03_10G142500\nSoyC03_09G118100\nSoyC03_18G040900\nSoyC03_16G069600\nSoyC03_03G180300\nSoyC03_12G217200\nSoyC03_05G213000\nSoyC03_08G026500\nSoyC03_20G169900\nSoyC03_11G064800\nSoyC03_07G118300\nSoyC03_17G053100\nSoyC03_17G153900\nSoyC03_07G278500\nSoyC03_19G191800
Ke_Shan_No.1	SoyC14_01G190100\nSoyC14_04G241800\nSoyC14_13G266500\nSoyC14_12G015700\nSoyC14_13G337000\nSoyC14_17G035300\nSoyC14_09G146700\nSoyC14_17G156500\nSoyC14_16G048800\nSoyC14_10G234300\nSoyC14_08G203400\nSoyC14_17G074900\nSoyC14_05G144100\nSoyC14_17G207100\nSoyC14_15G100300\nSoyC14_16G174400\nSoyC14_20G172300\nSoyC14_14G008500\nSoyC14_03G229400\nSoyC14_19G238200
