names numbers
3_prime_UTR_variant 725075
5_prime_UTR_premature_start_codon_gain_variant 75103
5_prime_UTR_variant 488076
downstream_gene_variant 11830131
initiator_codon_variant 230
initiator_codon_variant&splice_region_variant 9
intergenic_region 21679783
intragenic_variant 1712
intron_variant 5477065
missense_variant 918072
missense_variant&splice_region_variant 15245
non_coding_transcript_exon_variant 4583
non_coding_transcript_variant 297
splice_acceptor_variant&intron_variant 7778
splice_donor_variant&intron_variant 6611
splice_region_variant 11699
splice_region_variant&intron_variant 86304
splice_region_variant&non_coding_transcript_exon_variant 185
splice_region_variant&stop_retained_variant 340
splice_region_variant&synonymous_variant 9544
start_lost 1693
start_lost&splice_region_variant 39
stop_gained 35797
stop_gained&splice_region_variant 1110
stop_lost 11282
stop_lost&splice_region_variant 885
stop_retained_variant 4287
synonymous_variant 589080
upstream_gene_variant 12877544
