Cultivar	Wild
s1		Glycine soja
s2		Glycine soja
s3		Glycine soja
s4		Glycine soja
s5		Glycine soja
s6		Glycine soja
s7		Glycine soja
s8		Glycine soja
s9		Glycine soja
s10		Glycine soja
s11		Glycine soja
s12		Glycine soja
s13		Glycine soja
s14		Glycine soja
s15		Glycine soja
s16		Glycine soja
s17		Glycine soja
s18		Glycine soja
s19		Glycine soja
s20		Glycine soja
s21		Glycine soja
s22		Glycine soja
s23		Glycine soja
s24		Glycine soja
s25		Glycine soja
s26		Glycine soja
s27		Glycine soja
s28		Glycine soja
s29		Glycine soja
s30		Glycine soja
s31		Glycine soja
s32		Glycine soja
s33		Glycine soja
s34		Glycine soja
s35		Glycine soja
s36		Glycine soja
s37		Glycine soja
s38		Glycine soja
s39		Glycine soja
s40		Glycine soja
s41		Glycine soja
s42		Glycine soja
s43		Glycine soja
s44		Glycine soja
s45		Glycine soja
s46		Glycine soja
s47		Glycine soja
s48		Glycine soja
s49		Glycine soja
s50		Glycine soja
s51		Glycine soja
s52		Glycine soja
s53		Glycine soja
s54		Glycine soja
s55		Glycine soja
s56		Glycine soja
s57		Glycine soja
s58		Glycine soja
s59		Glycine soja
s60		Glycine soja
s61		Glycine soja
s62		Glycine soja
s63	Landrace	
s64	Landrace	
s65	Landrace	
s66	Landrace	
s67	Landrace	
s68	Landrace	
s69	Landrace	
s70	Landrace	
s71	Landrace	
s72	Landrace	
s73	Landrace	
s74	Landrace	
s75	Landrace	
s76	Landrace	
s77	Landrace	
s78	Landrace	
s79	Landrace	
s80	Landrace	
s81	Landrace	
s82	Landrace	
s83	Landrace	
s84	Landrace	
s85	Landrace	
s86	Landrace	
s87	Landrace	
s88	Landrace	
s89	Landrace	
s90	Landrace	
s91	Landrace	
s92	Landrace	
s93	Landrace	
s94	Landrace	
s95	Landrace	
s96	Landrace	
s97	Landrace	
s98	Landrace	
s99	Landrace	
s100	Landrace	
s101	Landrace	
s102	Landrace	
s103	Landrace	
s104	Landrace	
s105	Landrace	
s106	Landrace	
s107	Landrace	
s108	Landrace	
s109	Landrace	
s110	Landrace	
s111	Landrace	
s112	Landrace	
s113	Landrace	
s114	Landrace	
s115	Landrace	
s116	Landrace	
s117	Landrace	
s118	Landrace	
s119	Landrace	
s120	Landrace	
s121	Landrace	
s122	Landrace	
s123	Landrace	
s124	Landrace	
s125	Landrace	
s126	Landrace	
s127	Landrace	
s128	Landrace	
s129	Landrace	
s130	Landrace	
s131	Landrace	
s132	Landrace	
s133	Landrace	
s134	Landrace	
s135	Landrace	
s136	Landrace	
s137	Landrace	
s138	Landrace	
s139	Landrace	
s140	Landrace	
s141	Landrace	
s142	Landrace	
s143	Landrace	
s144	Landrace	
s145	Landrace	
s146	Landrace	
s147	Landrace	
s148	Landrace	
s149	Landrace	
s150	Landrace	
s151	Landrace	
s152	Landrace	
s153	Landrace	
s154	Landrace	
s155	Landrace	
s156	Landrace	
s157	Landrace	
s158	Landrace	
s159	Landrace	
s160	Landrace	
s161	Landrace	
s162	Landrace	
s163	Landrace	
s164	Landrace	
s165	Landrace	
s166	Landrace	
s167	Landrace	
s168	Landrace	
s169	Landrace	
s170	Landrace	
s171	Landrace	
s172	Landrace	
s173	Landrace	
s174	Landrace	
s175	Landrace	
s176	Landrace	
s177	Landrace	
s178	Landrace	
s179	Landrace	
s180	Landrace	
s181	Landrace	
s182	Landrace	
s183	Landrace	
s184	Landrace	
s185	Landrace	
s186	Landrace	
s187	Landrace	
s188	Landrace	
s189	Landrace	
s190	Landrace	
s191	Landrace	
s192	Landrace	
s193	Improved cultivar	
s194	Improved cultivar	
s195	Improved cultivar	
s196	Improved cultivar	
s197	Improved cultivar	
s198	Improved cultivar	
s199	Improved cultivar	
s200	Improved cultivar	
s201	Improved cultivar	
s202	Improved cultivar	
s203	Improved cultivar	
s204	Improved cultivar	
s205	Improved cultivar	
s206	Improved cultivar	
s207	Improved cultivar	
s208	Improved cultivar	
s209	Improved cultivar	
s210	Improved cultivar	
s211	Improved cultivar	
s212	Improved cultivar	
s213	Improved cultivar	
s214	Improved cultivar	
s215	Improved cultivar	
s216	Improved cultivar	
s217	Improved cultivar	
s218	Improved cultivar	
s219	Improved cultivar	
s220	Improved cultivar	
s221	Improved cultivar	
s222	Improved cultivar	
s223	Improved cultivar	
s224	Improved cultivar	
s225	Improved cultivar	
s226	Improved cultivar	
s227	Improved cultivar	
s228	Improved cultivar	
s229	Improved cultivar	
s230	Improved cultivar	
s231	Improved cultivar	
s232	Improved cultivar	
s233	Improved cultivar	
s234	Improved cultivar	
s235	Improved cultivar	
s236	Improved cultivar	
s237	Improved cultivar	
s238	Improved cultivar	
s239	Improved cultivar	
s240	Improved cultivar	
s241	Improved cultivar	
s242	Improved cultivar	
s243	Improved cultivar	
s244	Improved cultivar	
s245	Improved cultivar	
s246	Improved cultivar	
s247	Improved cultivar	
s248	Improved cultivar	
s249	Improved cultivar	
s250	Improved cultivar	
s251	Improved cultivar	
s252	Improved cultivar	
s253	Improved cultivar	
s254	Improved cultivar	
s255	Improved cultivar	
s256	Improved cultivar	
s257	Improved cultivar	
s258	Improved cultivar	
s259	Improved cultivar	
s260	Improved cultivar	
s261	Improved cultivar	
