Sequence Identifier	PI	Common Name	Genome Coverage	MG	Origin/Country
HN001	PI518664	Hutcheson	17X	V	U.S.
HN002	PI548402	Peking	17X	IV	China
HN003	PI89772	7193	17X	IV	China
HN004	PI90763	7570	17X	IV	China
HN005	PI404166	Krasnoarmejskaja	17X	III	China
HN006	PI407788A	ORD 8113	17X	IV	Korea, South
HN007	PI424298	KAS 300-10	17X	IV	Korea, South
HN008	PI437655	Er-huan-jan	17X	III	China
HN009	PI495017C	(Beijing da qing don)	17X	IV	China
HN010	PI468915		17X	II	China
HN011	PI507354	Tokei 421	17X	I	Japan
HN012	PI567305	Hei dou zi	17X	IV	China
HN013	S05-11482		17X	IV	U.S.
HN014	PI548667	Essex	17X	V	U.S.
HN015	PI437654	Er-hej-jan	17X	III	China
HN016	PI567387	Huang huai dou	17X	IV	China
HN017B	PI437725	Te-zu-gan	17X	IV	China
HN018	PI437690	Pin-din-guan	17X	III	China
HN020	PI88788	5913	17X	III	China
HN021	PI209332	No. 4	17X	IV	Japan
HN022	PI404198B	(Sun huan do)	17X	IV	China
HN023	PI424608A	KAS 681-21	17X	IV	Korea, South
HN024	PI548316	Cloud	17X	III	China
HN025	PI567516C	(Ba yue zha)	17X	IV	China
HN026	PI612611	Browngilgun	17X	III	Korea, North
HN027	S10-11227		17X		U.S.
HN028	PI572239	Holladay	17X	V	U.S.
HN029	IA3023		17X	III	U.S.
HN030	PI598124	Maverick	17X	III	U.S.
HN031	PI79691-4		17X	III	China
HN032	PI86006	Kiio Shokuzu	17X	III	Japan
HN033	PI87617	Miyongaikon	17X	III	Korea, North
HN034	PI87631-1	Kindaizu	17X	III	Japan
HN035	PI196175	Yu tae	17X	V	Korea, South
HN037	PI200508	Natsu Daizu	17X	I	Japan
HN038	PI248515	White Hilum Iwata Variety No. 2	17X	IV	Japan
HN039	PI366121		17X	IV	Japan
HN040	PI378702		17X	IV	Japan
HN041	PI398593	KAS 390-4	17X	V	Korea, South
HN042	PI398595	KAS 390-5	17X	V	Korea, South
HN043	PI398610	KAS 390-8	17X	V	Korea, South
HN044	PI398614	KAS 390-9	17X	V	Korea, South
HN045	PI407162	K1-D	17X	IV	Korea, South
HN046	PI407184	K29	17X	IV	Korea, South
HN047	PI407729		17X	IV	China
HN048	PI407965	KAERI 504-4	17X	V	Korea, South
HN049	PI408105A	KAS 633-19	17X	IV	Korea, South
HN050	PI416937	Houjaku Kuwazu	17X	VI	Japan
HN051	PI424078	74077	17X	III	Korea, South
HN052	PI424079	74079	17X	IV	Korea, South
HN053	PI424088	74088	17X	IV	Korea, South
HN054	PI437169B	(VNIISC-4)	17X	II	Russian Federation
HN055	PI437679	Nan-cou	17X	IV	China
HN056	PI437863A	DV-2841	17X	II	China
HN057	PI438258	VIR 4714	17X	II	China
HN058	PI458515	Tie Zhugan	17X	IV	China
HN059	PI464920B	(Jin Dou 33)	17X	III	China
HN060	PI467312	Cha-mo-shi-dou	17X	II	China
HN061	PI471938	197	17X	V	Nepal
HN062	PI475783B	(Tsing 2)	17X	III	China
HN063	PI483463		17X	III	China
HN064	PI518751	NS-20	17X	II	Former Serbia and Montenegro
HN065	PI542044	Kunitz	17X	III	U.S.
HN066	PI547862	L83-570	17X	III	U.S.
HN067	PI548317	Columbia	17X	III	China
HN068	PI548349	Ilsoy	17X	III	Korea, North
HN069	PI548415	Sooty	17X	IV	China
HN070	PI548511	Beeson 80	17X	II	U.S.
HN071	PI548657	Jackson	17X	VII	U.S.
HN072	PI549031		17X	III	China
HN073	PI552538	Dunbar	17X	III	U.S.
HN074	PI561271	Pei xian da quing dou	17X	V	China
HN075	PI567230	WJK-PRC-23	17X	V	China
HN076	PI567336B	(Lao hei dou)	17X	IV	China
HN077	PI567343	Ma huang dou	17X	V	China
HN078	PI567354	You huang dou	17X	IV	China
HN079	PI567357	Du jia qiao huang dou	17X	III	China
HN080	PI567383	Da ke huang dou	17X	V	China
HN081	PI567519	Bai hua chi	17X	III	China
HN082	PI567611	Ba yue zha	17X	IV	China
HN083	PI567651	Shang cai er cao ping ding shi	17X	IV	China
HN084	PI567690	Fu yang (7)	17X	III	China
HN085	PI567719	Fu yang (43)	17X	IV	China
HN086	PI567731	Fu yang (56)	17X	III	China
HN087	PI591539	L91-8558	17X	III	U.S.
HN088	PI593258	Macon	17X	III	U.S.
HN089	PI594012	Heuksatangdu	17X	IV, V	Korea, South
HN090	PI594512A	Bian zi jiang se dou	17X	VII	China
HN091	PI594599	Chang de chun hei dou	17X	IV	China
HN092	PI597387	Pana	17X	III	U.S.
HN093	PI603154	GL 2622 /96	17X	V	Korea, North
HN094	PI603170	GL 2683 /96	17X	IV	Korea, North
HN095	PI603175	GL 2688 /96	17X	IV	Korea, North
HN096	PI603176A		17X	IV	Korea, North
HN097	PI603497	Hua dou	17X	III	China
HN098	PI605869A	Sample 140	17X	V	Vietnam
HN099	PI639740	LD00-3309	17X	IV	U.S.
HN100	PI647086	N8001	17X	VIII	U.S.
HN101	PI658519	LD00-2817P	17X	IV	U.S.
HN102	S07-5049		17X	IV	U.S.
HN103	V71-370		17X	VI	U.S.
HN104	FC31721		17X	VI	
HN105	PI438471	Fiskeby III	17X	0	Sweden
HN106	PI417091	Kuro mame	17X	II	Japan
HN107	PI417015	Kawanagare (Iwate)	17X	III	Japan
SJ-01	PI378684A		15x	VI	Japan
SJ-02	PI378696A		15x	VI	Japan
SJ-03	PI378698		15x	VI	Japan
SJ-04	PI407083	RB 1072	15x	VI	Japan
SJ-05	PI407270	K45-B	15x	VI	Korea, South
SJ-06	PI407281	K103-C	15x	VI	Korea, South
SJ-07	PI407286	Tsuru Mame	15x	VI	Japan
SJ-08	PI407303		15x	VI	China
SJ-09	PI407307		15x	VI	China
