Genome	Species	Type	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20
PI 549046	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_fasta/PI_549046.chr1.fasta.gz' target='_blank'>PI 549046.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr2.fasta.gz' target='_blank'>PI 549046.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr3.fasta.gz' target='_blank'>PI 549046.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr4.fasta.gz' target='_blank'>PI 549046.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr5.fasta.gz' target='_blank'>PI 549046.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr6.fasta.gz' target='_blank'>PI 549046.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr7.fasta.gz' target='_blank'>PI 549046.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr8.fasta.gz' target='_blank'>PI 549046.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr9.fasta.gz' target='_blank'>PI 549046.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr10.fasta.gz' target='_blank'>PI 549046.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr11.fasta.gz' target='_blank'>PI 549046.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr12.fasta.gz' target='_blank'>PI 549046.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr13.fasta.gz' target='_blank'>PI 549046.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr14.fasta.gz' target='_blank'>PI 549046.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr15.fasta.gz' target='_blank'>PI 549046.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr16.fasta.gz' target='_blank'>PI 549046.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr17.fasta.gz' target='_blank'>PI 549046.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr18.fasta.gz' target='_blank'>PI 549046.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr19.fasta.gz' target='_blank'>PI 549046.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_549046.chr20.fasta.gz' target='_blank'>PI 549046.chr20.fasta.gz</a>
PI 562565	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_fasta/PI_562565.chr1.fasta.gz' target='_blank'>PI 562565.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr2.fasta.gz' target='_blank'>PI 562565.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr3.fasta.gz' target='_blank'>PI 562565.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr4.fasta.gz' target='_blank'>PI 562565.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr5.fasta.gz' target='_blank'>PI 562565.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr6.fasta.gz' target='_blank'>PI 562565.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr7.fasta.gz' target='_blank'>PI 562565.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr8.fasta.gz' target='_blank'>PI 562565.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr9.fasta.gz' target='_blank'>PI 562565.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr10.fasta.gz' target='_blank'>PI 562565.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr11.fasta.gz' target='_blank'>PI 562565.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr12.fasta.gz' target='_blank'>PI 562565.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr13.fasta.gz' target='_blank'>PI 562565.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr14.fasta.gz' target='_blank'>PI 562565.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr15.fasta.gz' target='_blank'>PI 562565.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr16.fasta.gz' target='_blank'>PI 562565.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr17.fasta.gz' target='_blank'>PI 562565.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr18.fasta.gz' target='_blank'>PI 562565.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr19.fasta.gz' target='_blank'>PI 562565.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_562565.chr20.fasta.gz' target='_blank'>PI 562565.chr20.fasta.gz</a>
PI 578357	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_fasta/PI_578357.chr1.fasta.gz' target='_blank'>PI 578357.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr2.fasta.gz' target='_blank'>PI 578357.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr3.fasta.gz' target='_blank'>PI 578357.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr4.fasta.gz' target='_blank'>PI 578357.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr5.fasta.gz' target='_blank'>PI 578357.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr6.fasta.gz' target='_blank'>PI 578357.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr7.fasta.gz' target='_blank'>PI 578357.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr8.fasta.gz' target='_blank'>PI 578357.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr9.fasta.gz' target='_blank'>PI 578357.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr10.fasta.gz' target='_blank'>PI 578357.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr11.fasta.gz' target='_blank'>PI 578357.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr12.fasta.gz' target='_blank'>PI 578357.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr13.fasta.gz' target='_blank'>PI 578357.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr14.fasta.gz' target='_blank'>PI 578357.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr15.fasta.gz' target='_blank'>PI 578357.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr16.fasta.gz' target='_blank'>PI 578357.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr17.fasta.gz' target='_blank'>PI 578357.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr18.fasta.gz' target='_blank'>PI 578357.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr19.fasta.gz' target='_blank'>PI 578357.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_578357.chr20.fasta.gz' target='_blank'>PI 578357.chr20.fasta.gz</a>
PI 483463	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_fasta/PI_483463.chr1.fasta.gz' target='_blank'>PI 483463.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr2.fasta.gz' target='_blank'>PI 483463.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr3.fasta.gz' target='_blank'>PI 483463.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr4.fasta.gz' target='_blank'>PI 483463.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr5.fasta.gz' target='_blank'>PI 483463.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr6.fasta.gz' target='_blank'>PI 483463.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr7.fasta.gz' target='_blank'>PI 483463.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr8.fasta.gz' target='_blank'>PI 483463.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr9.fasta.gz' target='_blank'>PI 483463.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr10.fasta.gz' target='_blank'>PI 483463.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr11.fasta.gz' target='_blank'>PI 483463.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr12.fasta.gz' target='_blank'>PI 483463.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr13.fasta.gz' target='_blank'>PI 483463.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr14.fasta.gz' target='_blank'>PI 483463.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr15.fasta.gz' target='_blank'>PI 483463.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr16.fasta.gz' target='_blank'>PI 483463.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr17.fasta.gz' target='_blank'>PI 483463.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr18.fasta.gz' target='_blank'>PI 483463.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr19.fasta.gz' target='_blank'>PI 483463.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_483463.chr20.fasta.gz' target='_blank'>PI 483463.chr20.fasta.gz</a>
W05	Glycine soja Sieb. and Zucc.	Glycine soja	<a href='SoybeanGDB_fasta/W05.chr1.fasta.gz' target='_blank'>W05.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr2.fasta.gz' target='_blank'>W05.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr3.fasta.gz' target='_blank'>W05.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr4.fasta.gz' target='_blank'>W05.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr5.fasta.gz' target='_blank'>W05.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr6.fasta.gz' target='_blank'>W05.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr7.fasta.gz' target='_blank'>W05.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr8.fasta.gz' target='_blank'>W05.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr9.fasta.gz' target='_blank'>W05.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr10.fasta.gz' target='_blank'>W05.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr11.fasta.gz' target='_blank'>W05.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr12.fasta.gz' target='_blank'>W05.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr13.fasta.gz' target='_blank'>W05.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr14.fasta.gz' target='_blank'>W05.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr15.fasta.gz' target='_blank'>W05.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr16.fasta.gz' target='_blank'>W05.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr17.fasta.gz' target='_blank'>W05.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr18.fasta.gz' target='_blank'>W05.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr19.fasta.gz' target='_blank'>W05.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/W05.chr20.fasta.gz' target='_blank'>W05.chr20.fasta.gz</a>
58-161	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_fasta/58-161.chr1.fasta.gz' target='_blank'>58-161.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr2.fasta.gz' target='_blank'>58-161.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr3.fasta.gz' target='_blank'>58-161.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr4.fasta.gz' target='_blank'>58-161.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr5.fasta.gz' target='_blank'>58-161.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr6.fasta.gz' target='_blank'>58-161.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr7.fasta.gz' target='_blank'>58-161.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr8.fasta.gz' target='_blank'>58-161.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr9.fasta.gz' target='_blank'>58-161.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr10.fasta.gz' target='_blank'>58-161.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr11.fasta.gz' target='_blank'>58-161.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr12.fasta.gz' target='_blank'>58-161.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr13.fasta.gz' target='_blank'>58-161.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr14.fasta.gz' target='_blank'>58-161.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr15.fasta.gz' target='_blank'>58-161.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr16.fasta.gz' target='_blank'>58-161.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr17.fasta.gz' target='_blank'>58-161.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr18.fasta.gz' target='_blank'>58-161.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr19.fasta.gz' target='_blank'>58-161.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/58-161.chr20.fasta.gz' target='_blank'>58-161.chr20.fasta.gz</a>
Feng Di Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr1.fasta.gz' target='_blank'>Feng Di Huang.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr2.fasta.gz' target='_blank'>Feng Di Huang.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr3.fasta.gz' target='_blank'>Feng Di Huang.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr4.fasta.gz' target='_blank'>Feng Di Huang.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr5.fasta.gz' target='_blank'>Feng Di Huang.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr6.fasta.gz' target='_blank'>Feng Di Huang.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr7.fasta.gz' target='_blank'>Feng Di Huang.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr8.fasta.gz' target='_blank'>Feng Di Huang.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr9.fasta.gz' target='_blank'>Feng Di Huang.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr10.fasta.gz' target='_blank'>Feng Di Huang.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr11.fasta.gz' target='_blank'>Feng Di Huang.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr12.fasta.gz' target='_blank'>Feng Di Huang.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr13.fasta.gz' target='_blank'>Feng Di Huang.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr14.fasta.gz' target='_blank'>Feng Di Huang.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr15.fasta.gz' target='_blank'>Feng Di Huang.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr16.fasta.gz' target='_blank'>Feng Di Huang.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr17.fasta.gz' target='_blank'>Feng Di Huang.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr18.fasta.gz' target='_blank'>Feng Di Huang.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr19.fasta.gz' target='_blank'>Feng Di Huang.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/Feng_Di_Huang.chr20.fasta.gz' target='_blank'>Feng Di Huang.chr20.fasta.gz</a>
PI 398296	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_fasta/PI_398296.chr1.fasta.gz' target='_blank'>PI 398296.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr2.fasta.gz' target='_blank'>PI 398296.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr3.fasta.gz' target='_blank'>PI 398296.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr4.fasta.gz' target='_blank'>PI 398296.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr5.fasta.gz' target='_blank'>PI 398296.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr6.fasta.gz' target='_blank'>PI 398296.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr7.fasta.gz' target='_blank'>PI 398296.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr8.fasta.gz' target='_blank'>PI 398296.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr9.fasta.gz' target='_blank'>PI 398296.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr10.fasta.gz' target='_blank'>PI 398296.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr11.fasta.gz' target='_blank'>PI 398296.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr12.fasta.gz' target='_blank'>PI 398296.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr13.fasta.gz' target='_blank'>PI 398296.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr14.fasta.gz' target='_blank'>PI 398296.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr15.fasta.gz' target='_blank'>PI 398296.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr16.fasta.gz' target='_blank'>PI 398296.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr17.fasta.gz' target='_blank'>PI 398296.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr18.fasta.gz' target='_blank'>PI 398296.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr19.fasta.gz' target='_blank'>PI 398296.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/PI_398296.chr20.fasta.gz' target='_blank'>PI 398296.chr20.fasta.gz</a>
Shi Sheng Chang Ye	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr1.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr2.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr3.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr4.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr5.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr6.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr7.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr8.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr9.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr10.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr11.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr12.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr13.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr14.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr15.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr16.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr17.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr18.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr19.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/Shi_Sheng_Chang_Ye.chr20.fasta.gz' target='_blank'>Shi Sheng Chang Ye.chr20.fasta.gz</a>
Tie Jia Si Li Huang	Glycine max (L.) Merr.	Landrace	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr1.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr1.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr2.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr2.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr3.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr3.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr4.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr4.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr5.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr5.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr6.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr6.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr7.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr7.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr8.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr8.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr9.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr9.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr10.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr10.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr11.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr11.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr12.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr12.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr13.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr13.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr14.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr14.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr15.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr15.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr16.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr16.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr17.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr17.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr18.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr18.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr19.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr19.fasta.gz</a>	<a href='SoybeanGDB_fasta/Tie_Jia_Si_Li_Huang.chr20.fasta.gz' target='_blank'>Tie Jia Si Li Huang.chr20.fasta.gz</a>
