Accession	LOC
Zhonghuang_13	chr1:20260371-20686979
PI_483463	chr5:474561-990233
PI_562565	chr3:21260371-21886979
PI_549046	chr4:1258222-1658222
PI_578357	chr6:355292-755229
Williams_82	chr2:11660371-11886979
W05	chr7:1258222-1658222
Zhutwinning2	chr9:10260371-10696979
Zi_Hua_No.4	chr7:30260371-30696979
Tong_Shan_Tian_E_Dan	chr13:1260371-1471211
58-161	chr11:5260371-5371211
PI_398296	chr15:6862384-6971118
Zhang_Chun_Man_Cang_Jin	chr1:865315-995987
Feng_Di_Huang	chr6:1218952-1396001
Tie_Jia_Si_Li_Huang	chr12:39784561-39900233
Shi_Sheng_Chang_Ye	chr19:474561-990233
Xu_Dou_No.1	chr20:14474561-14974561
Tie_Feng_No.18	chr17:331089-431088
Ju_Xuan_No.23	chr13:719963-996522
Wan_Dou_No.28	chr1:6706546-6996546
Amsoy	chr8:18221134-18321344
Yu_Dou_No.22	chr9:1723884-1996346
Jin_Dou_No.23	chr4:9933314-10133314
Qi_Huang_No.34	chr3:16042231-17579816
Han_Dou_No.5	chr6:1318952-1545629
PI_548362	chr5:33544823-33693364
Ji_Dou_No.17	chr15:20005997-21100233
Dong_Nong_No.50	chr19:1260371-1471211
Hei_He_No.43	chr9:1258222-1658222
Ke_Shan_No.1	chr11:865315-995987
Lee	chr13:1258222-1658222
