file	chr	start	end
./data/Chr1.1.5000000.snp.RData	chr1	1	5000000
./data/Chr1.5000001.10000000.snp.RData	chr1	5000001	10000000
./data/Chr1.10000001.15000000.snp.RData	chr1	10000001	15000000
./data/Chr1.15000001.20000000.snp.RData	chr1	15000001	20000000
./data/Chr1.20000001.25000000.snp.RData	chr1	20000001	25000000
./data/Chr1.25000001.30000000.snp.RData	chr1	25000001	30000000
./data/Chr1.30000001.35000000.snp.RData	chr1	30000001	35000000
./data/Chr1.35000001.40000000.snp.RData	chr1	35000001	40000000
./data/Chr1.40000001.45000000.snp.RData	chr1	40000001	45000000
./data/Chr1.45000001.50000000.snp.RData	chr1	45000001	50000000
./data/Chr1.50000001.55000000.snp.RData	chr1	50000001	55000000
./data/Chr1.55000001.59249829.snp.RData	chr1	55000001	59249829
./data/Chr2.1.5000000.snp.RData	chr2	1	5000000
./data/Chr2.5000001.10000000.snp.RData	chr2	5000001	10000000
./data/Chr2.10000001.15000000.snp.RData	chr2	10000001	15000000
./data/Chr2.15000001.20000000.snp.RData	chr2	15000001	20000000
./data/Chr2.20000001.25000000.snp.RData	chr2	20000001	25000000
./data/Chr2.25000001.30000000.snp.RData	chr2	25000001	30000000
./data/Chr2.30000001.35000000.snp.RData	chr2	30000001	35000000
./data/Chr2.35000001.40000000.snp.RData	chr2	35000001	40000000
./data/Chr2.40000001.45000000.snp.RData	chr2	40000001	45000000
./data/Chr2.45000001.50000000.snp.RData	chr2	45000001	50000000
./data/Chr2.50000001.52160593.snp.RData	chr2	50000001	52160593
./data/Chr3.1.5000000.snp.RData	chr3	1	5000000
./data/Chr3.5000001.10000000.snp.RData	chr3	5000001	10000000
./data/Chr3.10000001.15000000.snp.RData	chr3	10000001	15000000
./data/Chr3.15000001.20000000.snp.RData	chr3	15000001	20000000
./data/Chr3.20000001.25000000.snp.RData	chr3	20000001	25000000
./data/Chr3.25000001.30000000.snp.RData	chr3	25000001	30000000
./data/Chr3.30000001.35000000.snp.RData	chr3	30000001	35000000
./data/Chr3.35000001.40000000.snp.RData	chr3	35000001	40000000
./data/Chr3.40000001.45000000.snp.RData	chr3	40000001	45000000
./data/Chr3.45000001.47695029.snp.RData	chr3	45000001	47695029
./data/Chr4.1.5000000.snp.RData	chr4	1	5000000
./data/Chr4.5000001.10000000.snp.RData	chr4	5000001	10000000
./data/Chr4.10000001.15000000.snp.RData	chr4	10000001	15000000
./data/Chr4.15000001.20000000.snp.RData	chr4	15000001	20000000
./data/Chr4.20000001.25000000.snp.RData	chr4	20000001	25000000
./data/Chr4.25000001.30000000.snp.RData	chr4	25000001	30000000
./data/Chr4.30000001.35000000.snp.RData	chr4	30000001	35000000
./data/Chr4.35000001.40000000.snp.RData	chr4	35000001	40000000
./data/Chr4.40000001.45000000.snp.RData	chr4	40000001	45000000
./data/Chr4.45000001.50000000.snp.RData	chr4	45000001	50000000
./data/Chr4.50000001.53978414.snp.RData	chr4	50000001	53978414
./data/Chr5.1.5000000.snp.RData	chr5	1	5000000
./data/Chr5.5000001.10000000.snp.RData	chr5	5000001	10000000
./data/Chr5.10000001.15000000.snp.RData	chr5	10000001	15000000
./data/Chr5.15000001.20000000.snp.RData	chr5	15000001	20000000
./data/Chr5.20000001.25000000.snp.RData	chr5	20000001	25000000
./data/Chr5.25000001.30000000.snp.RData	chr5	25000001	30000000
./data/Chr5.30000001.35000000.snp.RData	chr5	30000001	35000000
./data/Chr5.35000001.40000000.snp.RData	chr5	35000001	40000000
./data/Chr5.40000001.45000000.snp.RData	chr5	40000001	45000000
./data/Chr5.45000001.45299532.snp.RData	chr5	45000001	45299532
./data/Chr6.1.5000000.snp.RData	chr6	1	5000000
./data/Chr6.5000001.10000000.snp.RData	chr6	5000001	10000000
./data/Chr6.10000001.15000000.snp.RData	chr6	10000001	15000000
./data/Chr6.15000001.20000000.snp.RData	chr6	15000001	20000000
./data/Chr6.20000001.25000000.snp.RData	chr6	20000001	25000000
./data/Chr6.25000001.30000000.snp.RData	chr6	25000001	30000000
./data/Chr6.30000001.35000000.snp.RData	chr6	30000001	35000000
./data/Chr6.35000001.40000000.snp.RData	chr6	35000001	40000000
./data/Chr6.40000001.45000000.snp.RData	chr6	40000001	45000000
./data/Chr6.45000001.50000000.snp.RData	chr6	45000001	50000000
./data/Chr6.50000001.51952677.snp.RData	chr6	50000001	51952677
./data/Chr7.1.5000000.snp.RData	chr7	1	5000000
./data/Chr7.5000001.10000000.snp.RData	chr7	5000001	10000000
./data/Chr7.10000001.15000000.snp.RData	chr7	10000001	15000000
./data/Chr7.15000001.20000000.snp.RData	chr7	15000001	20000000
./data/Chr7.20000001.25000000.snp.RData	chr7	20000001	25000000
./data/Chr7.25000001.30000000.snp.RData	chr7	25000001	30000000
./data/Chr7.30000001.35000000.snp.RData	chr7	30000001	35000000
./data/Chr7.35000001.40000000.snp.RData	chr7	35000001	40000000
./data/Chr7.40000001.45000000.snp.RData	chr7	40000001	45000000
./data/Chr7.45000001.46590119.snp.RData	chr7	45000001	46590119
./data/Chr8.1.5000000.snp.RData	chr8	1	5000000
./data/Chr8.5000001.10000000.snp.RData	chr8	5000001	10000000
./data/Chr8.10000001.15000000.snp.RData	chr8	10000001	15000000
./data/Chr8.15000001.20000000.snp.RData	chr8	15000001	20000000
./data/Chr8.20000001.25000000.snp.RData	chr8	20000001	25000000
./data/Chr8.25000001.30000000.snp.RData	chr8	25000001	30000000
./data/Chr8.30000001.35000000.snp.RData	chr8	30000001	35000000
./data/Chr8.35000001.40000000.snp.RData	chr8	35000001	40000000
./data/Chr8.40000001.45000000.snp.RData	chr8	40000001	45000000
./data/Chr8.45000001.49896852.snp.RData	chr8	45000001	49896852
./data/Chr9.1.5000000.snp.RData	chr9	1	5000000
./data/Chr9.5000001.10000000.snp.RData	chr9	5000001	10000000
./data/Chr9.10000001.15000000.snp.RData	chr9	10000001	15000000
./data/Chr9.15000001.20000000.snp.RData	chr9	15000001	20000000
./data/Chr9.20000001.25000000.snp.RData	chr9	20000001	25000000
./data/Chr9.25000001.30000000.snp.RData	chr9	25000001	30000000
./data/Chr9.30000001.35000000.snp.RData	chr9	30000001	35000000
./data/Chr9.35000001.40000000.snp.RData	chr9	35000001	40000000
./data/Chr9.40000001.45000000.snp.RData	chr9	40000001	45000000
./data/Chr9.45000001.50000000.snp.RData	chr9	45000001	50000000
./data/Chr9.50000001.51486896.snp.RData	chr9	50000001	51486896
./data/Chr10.1.5000000.snp.RData	chr10	1	5000000
./data/Chr10.5000001.10000000.snp.RData	chr10	5000001	10000000
./data/Chr10.10000001.15000000.snp.RData	chr10	10000001	15000000
./data/Chr10.15000001.20000000.snp.RData	chr10	15000001	20000000
./data/Chr10.20000001.25000000.snp.RData	chr10	20000001	25000000
./data/Chr10.25000001.30000000.snp.RData	chr10	25000001	30000000
./data/Chr10.30000001.35000000.snp.RData	chr10	30000001	35000000
./data/Chr10.35000001.40000000.snp.RData	chr10	35000001	40000000
./data/Chr10.40000001.45000000.snp.RData	chr10	40000001	45000000
./data/Chr10.45000001.50000000.snp.RData	chr10	45000001	50000000
./data/Chr10.50000001.54067360.snp.RData	chr10	50000001	54067360
./data/Chr11.1.5000000.snp.RData	chr11	1	5000000
./data/Chr11.5000001.10000000.snp.RData	chr11	5000001	10000000
./data/Chr11.10000001.15000000.snp.RData	chr11	10000001	15000000
./data/Chr11.15000001.20000000.snp.RData	chr11	15000001	20000000
./data/Chr11.20000001.25000000.snp.RData	chr11	20000001	25000000
./data/Chr11.25000001.30000000.snp.RData	chr11	25000001	30000000
./data/Chr11.30000001.35000000.snp.RData	chr11	30000001	35000000
./data/Chr11.35000001.40000000.snp.RData	chr11	35000001	40000000
./data/Chr11.40000001.40746315.snp.RData	chr11	40000001	40746315
./data/Chr12.1.5000000.snp.RData	chr12	1	5000000
./data/Chr12.5000001.10000000.snp.RData	chr12	5000001	10000000
./data/Chr12.10000001.15000000.snp.RData	chr12	10000001	15000000
./data/Chr12.15000001.20000000.snp.RData	chr12	15000001	20000000
./data/Chr12.20000001.25000000.snp.RData	chr12	20000001	25000000
./data/Chr12.25000001.30000000.snp.RData	chr12	25000001	30000000
./data/Chr12.30000001.35000000.snp.RData	chr12	30000001	35000000
./data/Chr12.35000001.40000000.snp.RData	chr12	35000001	40000000
./data/Chr12.40000001.44494750.snp.RData	chr12	40000001	44494750
./data/Chr13.1.5000000.snp.RData	chr13	1	5000000
./data/Chr13.5000001.10000000.snp.RData	chr13	5000001	10000000
./data/Chr13.10000001.15000000.snp.RData	chr13	10000001	15000000
./data/Chr13.15000001.20000000.snp.RData	chr13	15000001	20000000
./data/Chr13.20000001.25000000.snp.RData	chr13	20000001	25000000
./data/Chr13.25000001.30000000.snp.RData	chr13	25000001	30000000
./data/Chr13.30000001.35000000.snp.RData	chr13	30000001	35000000
./data/Chr13.35000001.40000000.snp.RData	chr13	35000001	40000000
./data/Chr13.40000001.45000000.snp.RData	chr13	40000001	45000000
./data/Chr13.45000001.47100052.snp.RData	chr13	45000001	47100052
./data/Chr14.1.5000000.snp.RData	chr14	1	5000000
./data/Chr14.5000001.10000000.snp.RData	chr14	5000001	10000000
./data/Chr14.10000001.15000000.snp.RData	chr14	10000001	15000000
./data/Chr14.15000001.20000000.snp.RData	chr14	15000001	20000000
./data/Chr14.20000001.25000000.snp.RData	chr14	20000001	25000000
./data/Chr14.25000001.30000000.snp.RData	chr14	25000001	30000000
./data/Chr14.30000001.35000000.snp.RData	chr14	30000001	35000000
./data/Chr14.35000001.40000000.snp.RData	chr14	35000001	40000000
./data/Chr14.40000001.45000000.snp.RData	chr14	40000001	45000000
./data/Chr14.45000001.50000000.snp.RData	chr14	45000001	50000000
./data/Chr14.50000001.53013617.snp.RData	chr14	50000001	53013617
./data/Chr15.1.5000000.snp.RData	chr15	1	5000000
./data/Chr15.5000001.10000000.snp.RData	chr15	5000001	10000000
./data/Chr15.10000001.15000000.snp.RData	chr15	10000001	15000000
./data/Chr15.15000001.20000000.snp.RData	chr15	15000001	20000000
./data/Chr15.20000001.25000000.snp.RData	chr15	20000001	25000000
./data/Chr15.25000001.30000000.snp.RData	chr15	25000001	30000000
./data/Chr15.30000001.35000000.snp.RData	chr15	30000001	35000000
./data/Chr15.35000001.40000000.snp.RData	chr15	35000001	40000000
./data/Chr15.40000001.45000000.snp.RData	chr15	40000001	45000000
./data/Chr15.45000001.50000000.snp.RData	chr15	45000001	50000000
./data/Chr15.50000001.53421904.snp.RData	chr15	50000001	53421904
./data/Chr16.1.5000000.snp.RData	chr16	1	5000000
./data/Chr16.5000001.10000000.snp.RData	chr16	5000001	10000000
./data/Chr16.10000001.15000000.snp.RData	chr16	10000001	15000000
./data/Chr16.15000001.20000000.snp.RData	chr16	15000001	20000000
./data/Chr16.20000001.25000000.snp.RData	chr16	20000001	25000000
./data/Chr16.25000001.30000000.snp.RData	chr16	25000001	30000000
./data/Chr16.30000001.35000000.snp.RData	chr16	30000001	35000000
./data/Chr16.35000001.38265740.snp.RData	chr16	35000001	38265740
./data/Chr17.1.5000000.snp.RData	chr17	1	5000000
./data/Chr17.5000001.10000000.snp.RData	chr17	5000001	10000000
./data/Chr17.10000001.15000000.snp.RData	chr17	10000001	15000000
./data/Chr17.15000001.20000000.snp.RData	chr17	15000001	20000000
./data/Chr17.20000001.25000000.snp.RData	chr17	20000001	25000000
./data/Chr17.25000001.30000000.snp.RData	chr17	25000001	30000000
./data/Chr17.30000001.35000000.snp.RData	chr17	30000001	35000000
./data/Chr17.35000001.40000000.snp.RData	chr17	35000001	40000000
./data/Chr17.40000001.42350739.snp.RData	chr17	40000001	42350739
./data/Chr18.1.5000000.snp.RData	chr18	1	5000000
./data/Chr18.5000001.10000000.snp.RData	chr18	5000001	10000000
./data/Chr18.10000001.15000000.snp.RData	chr18	10000001	15000000
./data/Chr18.15000001.20000000.snp.RData	chr18	15000001	20000000
./data/Chr18.20000001.25000000.snp.RData	chr18	20000001	25000000
./data/Chr18.25000001.30000000.snp.RData	chr18	25000001	30000000
./data/Chr18.30000001.35000000.snp.RData	chr18	30000001	35000000
./data/Chr18.35000001.40000000.snp.RData	chr18	35000001	40000000
./data/Chr18.40000001.45000000.snp.RData	chr18	40000001	45000000
